Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2014-08-23,2014,granada,la coruna,1.95,3.2,4.2,2,0,A,0.4412980301527464,4.2,0.8534517266415349,A,0.8534517266415349,0.4412980301527464,4.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-23,2014,almeria,espanol,2.55,3.3,2.7,1,0,A,0.5391876386241173,2.7,0.45580662428511687,A,0.45580662428511687,0.5391876386241173,2.7,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-23,2014,sevilla,valencia,2.05,3.5,3.5,1,0,A,0.4419269054718602,3.5,0.5467441691515107,A,0.5467441691515107,0.4419269054718602,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-23,2014,malaga,ath bilbao,2.8,3.3,2.45,2,0,A,0.5719598542786086,2.45,0.4013016429825913,A,0.4013016429825913,0.5719598542786086,2.45,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-24,2014,barcelona,elche,1.1,9.0,21.0,2,2,H,0.8941109780063116,1.1,-0.01647792419305716,H,-0.01647792419305716,0.8941109780063116,1.1,True,1.1,0.10000000000000009,1.1,0.10000000000000009,✓,✓,<0%,<0%
2014-08-24,2014,celta,getafe,1.91,3.4,4.0,2,1,D,0.392777030573967,3.4,0.33544190395148776,D,0.33544190395148776,0.392777030573967,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-24,2014,eibar,sociedad,3.25,3.4,2.2,2,0,A,0.5103923996202978,2.2,0.12286327916465534,A,0.12286327916465534,0.5103923996202978,2.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-24,2014,levante,villarreal,3.4,3.4,2.1,0,0,A,0.4570762083160221,2.1,-0.040139962536353546,D,0.2758416578634184,0.3752475464304172,3.4,True,2.1,1.1,0.0,-1.0,✓,✗,<0%,≥5%
2014-08-25,2014,real madrid,cordoba,1.06,11.0,29.0,2,2,H,0.9741671189752449,1.06,0.032617146113759654,H,0.032617146113759654,0.9741671189752449,1.06,True,1.06,0.06000000000000005,1.06,0.06000000000000005,✓,✓,2–5%,2–5%
2014-08-25,2014,vallecano,ath madrid,7.0,4.0,1.5,1,0,A,0.6977385450098429,1.5,0.046607817514764394,A,0.046607817514764394,0.6977385450098429,1.5,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%
2014-08-29,2014,getafe,almeria,2.0,3.4,3.75,2,1,D,0.4425563485095261,3.4,0.5046915849323885,D,0.5046915849323885,0.4425563485095261,3.4,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-29,2014,valencia,malaga,1.55,4.2,5.5,2,2,H,0.5922373530036111,1.55,-0.08203210284440277,A,0.45841643274064015,0.26516662413466185,5.5,True,1.55,0.55,0.0,-1.0,✓,✗,<0%,≥5%
2014-08-30,2014,cordoba,celta,3.3,3.3,2.2,1,1,D,0.522036785224103,3.3,0.7227213912395398,D,0.7227213912395398,0.522036785224103,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2014-08-30,2014,espanol,sevilla,2.5,3.2,2.88,0,1,D,0.5326158562555824,3.2,0.7043707400178638,D,0.7043707400178638,0.5326158562555824,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-30,2014,ath bilbao,levante,1.33,5.0,9.0,2,2,H,0.49672642924433225,1.33,-0.3393538491050381,D,1.3397561008935632,0.46795122017871266,5.0,True,1.33,0.33000000000000007,0.0,-1.0,✓,✗,<0%,≥5%
2014-08-30,2014,ath madrid,eibar,1.22,5.75,13.0,2,2,H,0.8595601372512731,1.22,0.048663367446553085,H,0.048663367446553085,0.8595601372512731,1.22,True,1.22,0.21999999999999997,1.22,0.21999999999999997,✓,✓,2–5%,2–5%
2014-08-31,2014,sociedad,real madrid,7.5,5.0,1.36,2,0,A,0.5709257411771493,1.36,-0.22354099199907684,D,0.6650279721086079,0.33300559442172156,5.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2014-08-31,2014,elche,granada,2.2,3.2,3.4,1,1,D,0.35267649967588377,3.2,0.12856479896282802,D,0.12856479896282802,0.35267649967588377,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2014-08-31,2014,la coruna,vallecano,2.25,3.3,3.2,1,1,D,0.4615054184804734,3.3,0.522967880985562,D,0.522967880985562,0.4615054184804734,3.3,True,3.3,2.3,3.3,2.3,✓,✓,≥5%,≥5%
2014-08-31,2014,villarreal,barcelona,5.0,4.2,1.57,0,0,A,0.6083125332006526,1.57,-0.04494932287497544,D,0.027583314864301656,0.24466269401530993,4.2,True,1.57,0.5700000000000001,0.0,-1.0,✓,✗,<0%,2–5%
2014-09-12,2014,almeria,cordoba,2.05,3.3,3.6,1,2,H,0.4535001786610157,2.05,-0.07032463374491782,D,0.08589632446342166,0.32905949226164294,3.3,True,0.0,-1.0,3.3,2.3,✗,✓,<0%,≥5%
2014-09-13,2014,barcelona,ath bilbao,1.3,5.5,8.5,2,2,H,0.7253086101176903,1.3,-0.057098806847002526,D,0.4196891364707096,0.25812529754012903,5.5,True,1.3,0.30000000000000004,0.0,-1.0,✓,✗,<0%,≥5%
2014-09-13,2014,celta,sociedad,2.2,3.3,3.3,1,2,H,0.3775320953192223,2.2,-0.16942939029771076,A,0.07083167906032317,0.32449444820009793,3.3,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2014-09-13,2014,malaga,levante,1.62,3.6,6.0,1,2,H,0.3686298852707781,1.62,-0.40281958586133937,A,1.0179458652563271,0.3363243108760545,6.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2014-09-13,2014,real madrid,ath madrid,1.67,3.75,5.0,0,2,H,0.556725614346219,1.67,-0.07026822404181421,D,0.44469554955601454,0.38525214654827056,3.75,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2014-09-14,2014,sevilla,getafe,1.44,4.33,7.0,2,2,H,0.5274855306304111,1.44,-0.24042083589220797,D,0.3313583546801393,0.30747306112705297,4.33,True,1.44,0.43999999999999995,0.0,-1.0,✓,✗,<0%,≥5%
