Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2007-08-25,2007,real madrid,ath madrid,1.72,3.5,4.75,2,0,A,0.38927940394923094,4.75,0.849077168758847,A,0.849077168758847,0.38927940394923094,4.75,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2007-08-25,2007,sevilla,getafe,1.4,4.0,9.0,2,2,H,0.788295999418537,1.4,0.10361439918595172,H,0.10361439918595172,0.788295999418537,1.4,True,1.4,0.3999999999999999,1.4,0.3999999999999999,✓,✓,≥5%,≥5%
2007-08-26,2007,espanol,valladolid,1.83,3.25,4.5,0,0,A,0.6771611324542582,4.5,2.047225096044162,A,2.047225096044162,0.6771611324542582,4.5,True,4.5,3.5,4.5,3.5,✓,✓,≥5%,≥5%
2007-08-26,2007,mallorca,levante,1.9,3.1,4.33,2,1,D,0.6333482159320243,3.1,0.9633794693892754,D,0.9633794693892754,0.6333482159320243,3.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2007-08-26,2007,la coruna,almeria,1.72,3.4,5.0,0,0,A,0.519631155422848,5.0,1.5981557771142398,A,1.5981557771142398,0.519631155422848,5.0,True,5.0,4.0,5.0,4.0,✓,✓,≥5%,≥5%
2007-08-26,2007,ath bilbao,osasuna,2.05,3.2,3.6,1,2,H,0.39579367434858503,2.05,-0.18862296758540076,D,0.21474543176092276,0.3796079474252883,3.2,True,0.0,-1.0,3.2,2.2,✗,✓,<0%,≥5%
2007-08-26,2007,valencia,villarreal,1.72,3.4,5.0,0,2,H,0.8781069191871511,1.72,0.5103439010019,H,0.5103439010019,0.8781069191871511,1.72,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2007-08-26,2007,recreativo,betis,2.2,3.2,3.25,1,1,D,0.49271927534915844,3.2,0.5767016811173071,D,0.5767016811173071,0.49271927534915844,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2007-08-26,2007,murcia,zaragoza,3.4,3.2,2.15,2,1,D,0.5613005891107147,3.2,0.7961618851542871,D,0.7961618851542871,0.5613005891107147,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2007-08-26,2007,santander,barcelona,7.5,4.0,1.44,1,0,A,0.9863374440813433,1.44,0.42032591947713427,A,0.42032591947713427,0.9863374440813433,1.44,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
