match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2025-08-15,-1.0,-1.0,-1.0,-1.0,girona,vallecano,Away,Draw,Home
2,2025-08-15,-0.6,-0.6,0.4,0.4,villarreal,oviedo,Home,Home,Home
3,2025-08-16,-0.2,-0.2,0.4,0.4,mallorca,barcelona,Away,Away,Away
4,2025-08-16,-1.2,0.95,-1.0,1.15,alaves,levante,Home,Away,Home
5,2025-08-16,0.7,-0.05,1.9,-1.0,valencia,sociedad,Draw,Draw,Home
6,2025-08-17,-0.3,-1.05,-1.0,-1.0,celta,getafe,Away,Home,Home
7,2025-08-17,0.27,-0.48,0.57,0.57,ath bilbao,sevilla,Home,Home,Home
8,2025-08-17,-0.73,-1.48,-1.0,-1.0,espanol,ath madrid,Home,Away,Away
9,2025-08-18,-1.73,-2.48,-1.0,-1.0,elche,betis,Draw,Away,Away
10,2025-08-19,-1.51,-2.26,0.22,0.22,real madrid,osasuna,Home,Home,Home
11,2025-08-22,-0.6,-1.35,0.91,0.91,betis,alaves,Home,Home,Home
12,2025-08-23,-0.35,-1.1,0.25,0.25,levante,barcelona,Away,Away,Away
13,2025-08-23,-1.35,-2.1,-1.0,-1.0,mallorca,celta,Draw,Away,Away
14,2025-08-23,-2.35,-3.1,-1.0,-1.0,ath madrid,elche,Draw,Home,Home
15,2025-08-24,-2.05,-2.8,0.3,0.3,oviedo,real madrid,Away,Away,Away
16,2025-08-24,-1.52,-2.27,0.53,0.53,villarreal,girona,Home,Home,Home
17,2025-08-24,-2.52,-0.87,-1.0,1.4,osasuna,valencia,Home,Draw,Home
18,2025-08-24,-3.52,-1.87,-1.0,-1.0,sociedad,espanol,Draw,Home,Home
19,2025-08-25,-2.82,-1.17,0.7,0.7,ath bilbao,vallecano,Home,Home,Home
20,2025-08-25,-3.82,-2.17,-1.0,-1.0,sevilla,getafe,Away,Home,Home
21,2025-08-27,-4.82,-3.17,-1.0,-1.0,celta,betis,Draw,Home,Home
22,2025-08-29,-5.82,-2.02,-1.0,1.15,elche,levante,Home,Away,Home
23,2025-08-29,-4.52,-0.72,1.3,1.3,valencia,getafe,Home,Home,Home
24,2025-08-30,-5.52,-1.72,-1.0,-1.0,oviedo,sociedad,Home,Away,Away
25,2025-08-30,-6.52,-2.72,-1.0,-1.0,alaves,ath madrid,Draw,Away,Away
26,2025-08-30,-6.34,-2.54,0.18,0.18,real madrid,mallorca,Home,Home,Home
27,2025-08-30,-7.34,-3.54,-1.0,-1.0,girona,sevilla,Away,Draw,Home
28,2025-08-31,-8.34,-2.16,-1.0,1.38,espanol,osasuna,Home,Draw,Home
29,2025-08-31,-9.34,-3.16,-1.0,-1.0,vallecano,barcelona,Draw,Away,Away
30,2025-08-31,-10.34,-4.16,-1.0,-1.0,celta,villarreal,Draw,Away,Away
31,2025-08-31,-11.34,-2.61,-1.0,1.55,betis,ath bilbao,Away,Draw,Away
32,2025-09-12,-12.34,-3.61,-1.0,-1.0,sevilla,elche,Draw,Home,Home
33,2025-09-13,-11.39,-2.66,0.95,0.95,getafe,oviedo,Home,Home,Home
34,2025-09-13,-10.79,-2.06,0.6,0.6,sociedad,real madrid,Away,Away,Away
35,2025-09-13,-11.79,-3.06,-1.0,-1.0,ath bilbao,alaves,Away,Home,Home
36,2025-09-13,-10.99,-2.26,0.8,0.8,ath madrid,villarreal,Home,Home,Home
37,2025-09-14,-11.99,-3.26,-1.0,-1.0,celta,girona,Draw,Home,Home
38,2025-09-14,-12.99,-4.26,-1.0,-1.0,levante,betis,Draw,Away,Away
39,2025-09-14,-11.44,-2.71,1.55,1.55,osasuna,vallecano,Home,Home,Home
40,2025-09-14,-11.22,-2.49,0.22,0.22,barcelona,valencia,Home,Home,Home
41,2025-09-15,-12.22,-1.39,-1.0,1.1,espanol,mallorca,Home,Draw,Home
42,2025-09-19,-11.31,-0.48,0.91,0.91,betis,sociedad,Home,Home,Home
43,2025-09-20,-10.76,0.07,0.55,0.55,villarreal,osasuna,Home,Home,Home
44,2025-09-20,-10.56,0.27,0.2,0.2,real madrid,espanol,Home,Home,Home
45,2025-09-20,-11.56,-0.73,-1.0,-1.0,valencia,ath bilbao,Home,Draw,Away
46,2025-09-20,-12.56,-1.73,-1.0,-1.0,girona,levante,Away,Home,Home
47,2025-09-20,-13.56,-2.73,-1.0,-1.0,alaves,sevilla,Away,Draw,Home
48,2025-09-21,-12.65,-1.82,0.91,0.91,elche,oviedo,Home,Home,Home
49,2025-09-21,-12.43,-1.6,0.22,0.22,barcelona,getafe,Home,Home,Home
50,2025-09-21,-13.43,-2.6,-1.0,-1.0,vallecano,celta,Draw,Home,Home
51,2025-09-21,-14.43,-3.6,-1.0,-1.0,mallorca,ath madrid,Draw,Away,Away
52,2025-09-23,-15.43,-4.6,-1.0,-1.0,espanol,valencia,Draw,Home,Home
53,2025-09-23,-15.1,-4.27,0.33,0.33,levante,real madrid,Away,Away,Away
54,2025-09-23,-16.1,-5.27,-1.0,-1.0,ath bilbao,girona,Draw,Home,Home
55,2025-09-23,-14.8,-3.97,1.3,1.3,sevilla,villarreal,Away,Away,Away
56,2025-09-24,-14.3,-3.47,0.5,0.5,ath madrid,vallecano,Home,Home,Home
57,2025-09-24,-15.3,-4.47,-1.0,-1.0,getafe,alaves,Draw,Home,Home
58,2025-09-24,-14.5,-3.67,0.8,0.8,sociedad,mallorca,Home,Home,Home
