match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2008-08-30,-1.0,1.0,-1.0,1.0,espanol,valladolid,Home,Draw,Home
2,2008-08-30,-0.3,1.7,0.7,0.7,valencia,mallorca,Home,Home,Home
3,2008-08-31,-1.3,0.7,-1.0,-1.0,numancia,barcelona,Home,Away,Away
4,2008-08-31,-2.3,-0.3,-1.0,-1.0,osasuna,villarreal,Draw,Away,Away
5,2008-08-31,-3.3,-1.3,-1.0,-1.0,santander,sevilla,Draw,Away,Away
6,2008-08-31,-4.3,0.32,-1.0,1.62,sp gijon,getafe,Away,Draw,Away
7,2008-08-31,-5.3,-0.68,-1.0,-1.0,ath bilbao,almeria,Away,Draw,Home
8,2008-08-31,-4.86,-0.24,0.44,0.44,ath madrid,malaga,Home,Home,Home
9,2008-08-31,-5.86,-1.24,-1.0,-1.0,betis,recreativo,Away,Draw,Home
10,2008-08-31,-6.86,-2.24,-1.0,-1.0,la coruna,real madrid,Home,Away,Away
11,2008-09-13,-7.86,-3.24,-1.0,-1.0,barcelona,santander,Draw,Home,Home
12,2008-09-13,-8.86,-4.24,-1.0,-1.0,valladolid,ath madrid,Home,Away,Away
13,2008-09-14,-7.86,-3.24,1.0,1.0,villarreal,la coruna,Home,Home,Home
14,2008-09-14,-7.53,-2.91,0.33,0.33,sevilla,sp gijon,Home,Home,Home
15,2008-09-14,-8.53,-3.91,-1.0,-1.0,recreativo,espanol,Away,Draw,Home
16,2008-09-14,-8.28,-3.66,0.25,0.25,real madrid,numancia,Home,Home,Home
17,2008-09-14,-9.28,-4.66,-1.0,-1.0,almeria,valencia,Draw,Away,Away
18,2008-09-14,-7.03,-5.66,2.25,-1.0,malaga,ath bilbao,Draw,Draw,Home
19,2008-09-14,-4.73,-6.66,2.3,-1.0,getafe,betis,Draw,Draw,Home
20,2008-09-14,-2.53,-7.66,2.2,-1.0,mallorca,osasuna,Draw,Draw,Home
21,2008-09-20,-2.03,-7.16,0.5,0.5,ath madrid,recreativo,Home,Home,Home
22,2008-09-20,-3.03,-8.16,-1.0,-1.0,espanol,getafe,Draw,Home,Home
23,2008-09-21,-1.93,-7.06,1.1,1.1,santander,real madrid,Away,Away,Away
24,2008-09-21,-0.93,-6.06,1.0,1.0,ath bilbao,valladolid,Home,Home,Home
25,2008-09-21,0.37,-4.76,1.3,1.3,numancia,villarreal,Away,Away,Away
26,2008-09-21,-0.63,-5.76,-1.0,-1.0,betis,sevilla,Draw,Away,Away
27,2008-09-21,-0.01,-5.14,0.62,0.62,valencia,osasuna,Home,Home,Home
28,2008-09-21,0.49,-4.64,0.5,0.5,sp gijon,barcelona,Away,Away,Away
29,2008-09-21,-0.51,-3.81,-1.0,0.83,almeria,malaga,Home,Draw,Home
30,2008-09-21,-1.51,-4.81,-1.0,-1.0,la coruna,mallorca,Draw,Home,Home
31,2008-09-24,-1.31,-4.61,0.2,0.2,barcelona,betis,Home,Home,Home
32,2008-09-24,0.09,-3.21,1.4,1.4,getafe,ath madrid,Away,Away,Away
33,2008-09-24,2.34,-4.21,2.25,-1.0,osasuna,la coruna,Draw,Draw,Home
34,2008-09-24,2.51,-4.04,0.17,0.17,real madrid,sp gijon,Home,Home,Home
35,2008-09-24,3.13,-3.42,0.62,0.62,sevilla,espanol,Home,Home,Home
36,2008-09-24,3.7,-2.85,0.57,0.57,villarreal,santander,Home,Home,Home
37,2008-09-25,2.7,-1.75,-1.0,1.1,valladolid,almeria,Home,Draw,Home
38,2008-09-25,4.95,-2.75,2.25,-1.0,recreativo,ath bilbao,Draw,Draw,Home
39,2008-09-25,3.95,-1.75,-1.0,1.0,malaga,valencia,Away,Draw,Away
40,2008-09-25,2.95,-0.9,-1.0,0.85,mallorca,numancia,Home,Draw,Home
41,2008-09-27,3.75,-0.1,0.8,0.8,betis,real madrid,Away,Away,Away
42,2008-09-27,4.55,0.7,0.8,0.8,espanol,barcelona,Away,Away,Away
43,2008-09-27,5.17,1.32,0.62,0.62,sp gijon,villarreal,Away,Away,Away
44,2008-09-28,4.17,0.32,-1.0,-1.0,ath bilbao,getafe,Away,Draw,Home
45,2008-09-28,4.84,0.99,0.67,0.67,valencia,la coruna,Home,Home,Home
46,2008-09-28,3.84,-0.01,-1.0,-1.0,santander,mallorca,Away,Draw,Home
47,2008-09-28,2.84,0.79,-1.0,0.8,almeria,recreativo,Home,Draw,Home
48,2008-09-28,5.09,-0.21,2.25,-1.0,numancia,osasuna,Draw,Draw,Home
49,2008-09-28,4.09,1.29,-1.0,1.5,malaga,valladolid,Home,Draw,Home
50,2008-09-28,3.09,0.29,-1.0,-1.0,ath madrid,sevilla,Away,Home,Home
51,2008-10-04,3.71,0.91,0.62,0.62,barcelona,ath madrid,Home,Home,Home
52,2008-10-04,4.28,1.48,0.57,0.57,villarreal,betis,Home,Home,Home
53,2008-10-05,3.28,0.48,-1.0,-1.0,recreativo,malaga,Away,Draw,Home
54,2008-10-05,3.72,0.92,0.44,0.44,sevilla,ath bilbao,Home,Home,Home
55,2008-10-05,2.72,-0.08,-1.0,-1.0,real madrid,espanol,Draw,Home,Home
56,2008-10-05,3.92,1.12,1.2,1.2,valladolid,valencia,Away,Away,Away
57,2008-10-05,2.92,1.85,-1.0,0.73,la coruna,numancia,Home,Draw,Home
58,2008-10-05,5.32,0.85,2.4,-1.0,getafe,almeria,Draw,Draw,Home
59,2008-10-05,4.32,-0.15,-1.0,-1.0,mallorca,sp gijon,Away,Home,Home
60,2008-10-05,3.32,-1.15,-1.0,-1.0,osasuna,santander,Away,Draw,Home
61,2008-10-18,4.72,0.25,1.4,1.4,ath madrid,real madrid,Away,Away,Away
62,2008-10-18,7.02,-0.75,2.3,-1.0,espanol,villarreal,Draw,Draw,Away
63,2008-10-19,7.35,-0.42,0.33,0.33,valencia,numancia,Home,Home,Home
64,2008-10-19,6.35,1.18,-1.0,1.6,almeria,sevilla,Away,Draw,Away
65,2008-10-19,6.88,1.71,0.53,0.53,ath bilbao,barcelona,Away,Away,Away
66,2008-10-19,7.88,2.71,1.0,1.0,betis,mallorca,Home,Home,Home
67,2008-10-19,6.88,4.21,-1.0,1.5,malaga,getafe,Home,Draw,Home
68,2008-10-19,9.13,3.21,2.25,-1.0,santander,la coruna,Draw,Draw,Home
69,2008-10-19,8.13,2.21,-1.0,-1.0,sp gijon,osasuna,Home,Away,Away
