match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2022-08-12,-1.0,-1.0,-1.0,-1.0,osasuna,sevilla,Home,Draw,Away
2,2022-08-13,1.75,-2.0,2.75,-1.0,celta,espanol,Draw,Draw,Home
3,2022-08-13,2.65,-1.1,0.9,0.9,valladolid,villarreal,Away,Away,Away
4,2022-08-13,1.65,-2.1,-1.0,-1.0,barcelona,vallecano,Draw,Home,Home
5,2022-08-14,2.85,-0.9,1.2,1.2,cadiz,sociedad,Away,Away,Away
6,2022-08-14,1.85,-0.05,-1.0,0.85,valencia,girona,Home,Draw,Home
7,2022-08-14,2.25,0.35,0.4,0.4,almeria,real madrid,Away,Away,Away
8,2022-08-15,5.0,-0.65,2.75,-1.0,ath bilbao,mallorca,Draw,Draw,Home
9,2022-08-15,5.9,0.25,0.9,0.9,getafe,ath madrid,Away,Away,Away
10,2022-08-15,6.34,0.69,0.44,0.44,betis,elche,Home,Home,Home
11,2022-08-19,5.34,-0.31,-1.0,-1.0,sevilla,valladolid,Draw,Home,Home
12,2022-08-19,4.34,-1.31,-1.0,-1.0,espanol,vallecano,Away,Draw,Home
13,2022-08-20,3.34,-0.41,-1.0,0.9,osasuna,cadiz,Home,Draw,Home
14,2022-08-20,4.74,0.99,1.4,1.4,mallorca,betis,Away,Away,Away
15,2022-08-20,5.4,1.65,0.66,0.66,celta,real madrid,Away,Away,Away
16,2022-08-21,4.4,0.65,-1.0,-1.0,ath madrid,villarreal,Away,Home,Home
17,2022-08-21,5.5,1.75,1.1,1.1,sociedad,barcelona,Away,Away,Away
18,2022-08-21,6.3,2.55,0.8,0.8,ath bilbao,valencia,Home,Home,Home
19,2022-08-22,8.5,1.55,2.2,-1.0,elche,almeria,Draw,Draw,Home
20,2022-08-22,7.5,3.35,-1.0,1.8,girona,getafe,Home,Draw,Home
21,2022-08-26,8.3,4.15,0.8,0.8,betis,osasuna,Home,Home,Home
22,2022-08-26,10.05,5.9,1.75,1.75,girona,celta,Away,Away,Away
23,2022-08-27,9.05,4.9,-1.0,-1.0,almeria,sevilla,Home,Away,Away
24,2022-08-27,10.2,6.05,1.15,1.15,elche,sociedad,Away,Away,Away
25,2022-08-27,9.2,5.05,-1.0,-1.0,vallecano,mallorca,Away,Draw,Home
26,2022-08-28,8.2,4.05,-1.0,-1.0,getafe,villarreal,Draw,Away,Away
27,2022-08-28,8.34,4.19,0.14,0.14,barcelona,valladolid,Home,Home,Home
28,2022-08-28,8.79,4.64,0.45,0.45,espanol,real madrid,Away,Away,Away
29,2022-08-29,9.94,5.79,1.15,1.15,cadiz,ath bilbao,Away,Away,Away
