match_num,date,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2007-08-25,0.72,0.72,0.72,0.72,real madrid,ath madrid,Home,Home,Home
2,2007-08-25,1.12,1.12,0.4,0.4,sevilla,getafe,Home,Home,Home
3,2007-08-26,0.12,0.12,-1.0,-1.0,murcia,zaragoza,Home,Away,Away
4,2007-08-26,2.32,-0.88,2.2,-1.0,recreativo,betis,Draw,Draw,Home
5,2007-08-26,1.32,-1.88,-1.0,-1.0,valencia,villarreal,Away,Home,Home
6,2007-08-26,0.32,-2.88,-1.0,-1.0,santander,barcelona,Draw,Away,Away
7,2007-08-26,4.32,-3.88,4.0,-1.0,la coruna,almeria,Away,Away,Home
8,2007-08-26,3.32,-2.98,-1.0,0.9,mallorca,levante,Home,Draw,Home
9,2007-08-26,6.82,-3.98,3.5,-1.0,espanol,valladolid,Away,Away,Home
10,2007-08-26,9.02,-4.98,2.2,-1.0,ath bilbao,osasuna,Draw,Draw,Home
11,2007-09-01,8.02,-5.98,-1.0,-1.0,levante,murcia,Draw,Away,Home
12,2007-09-01,7.02,-6.98,-1.0,-1.0,zaragoza,santander,Draw,Home,Home
13,2007-09-02,8.39,-5.61,1.37,1.37,villarreal,real madrid,Away,Away,Away
14,2007-09-02,9.64,-4.36,1.25,1.25,almeria,valencia,Away,Away,Away
15,2007-09-02,8.64,-5.36,-1.0,-1.0,ath madrid,mallorca,Draw,Home,Home
16,2007-09-02,10.89,-6.36,2.25,-1.0,betis,espanol,Draw,Draw,Home
17,2007-09-02,9.89,-7.36,-1.0,-1.0,getafe,recreativo,Draw,Away,Home
18,2007-09-02,10.05,-7.2,0.16,0.16,barcelona,ath bilbao,Home,Home,Home
19,2007-09-02,9.05,-8.2,-1.0,-1.0,valladolid,la coruna,Draw,Away,Home
20,2007-09-15,9.55,-7.7,0.5,0.5,valencia,valladolid,Home,Home,Home
21,2007-09-15,9.73,-7.52,0.18,0.18,real madrid,almeria,Home,Home,Home
22,2007-09-15,11.98,-8.52,2.25,-1.0,ath bilbao,zaragoza,Draw,Draw,Home
23,2007-09-16,10.98,-7.42,-1.0,1.1,espanol,getafe,Home,Draw,Home
24,2007-09-16,9.98,-6.12,-1.0,1.3,la coruna,betis,Home,Draw,Home
25,2007-09-16,11.98,-7.12,2.0,-1.0,mallorca,villarreal,Away,Away,Home
26,2007-09-16,10.98,-8.12,-1.0,-1.0,murcia,ath madrid,Draw,Away,Away
27,2007-09-16,9.98,-9.12,-1.0,-1.0,osasuna,barcelona,Draw,Away,Away
28,2007-09-16,10.88,-8.22,0.9,0.9,santander,levante,Home,Home,Home
29,2007-09-16,11.28,-7.82,0.4,0.4,sevilla,recreativo,Home,Home,Home
30,2007-09-22,11.94,-7.16,0.66,0.66,barcelona,sevilla,Home,Home,Home
31,2007-09-22,10.94,-5.79,-1.0,1.37,recreativo,espanol,Home,Draw,Home
32,2007-09-23,11.6,-5.13,0.66,0.66,villarreal,murcia,Home,Home,Home
33,2007-09-23,14.2,-6.13,2.6,-1.0,valladolid,real madrid,Draw,Draw,Away
34,2007-09-23,13.2,-7.13,-1.0,-1.0,levante,ath bilbao,Away,Draw,Home
