Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2012-08-18,2012,celta,malaga,2.25,3.25,3.2,0.4175,0.289,0.2935,0,2,2.25,0.0,-1.0,-1.0,-0.0607124937280481
2012-08-18,2012,mallorca,espanol,2.0,3.3,3.8,0.469,0.2842,0.2468,2,2,2.0,2.0,1.0,0.0,-0.0620792819745698
2012-08-18,2012,sevilla,getafe,1.62,3.75,5.5,0.5792,0.2502,0.1706,2,2,1.62,1.62,0.6200000000000001,0.6200000000000001,-0.06171019376579623
2012-08-19,2012,ath bilbao,betis,1.83,3.5,4.2,0.5106,0.267,0.2225,0,2,1.83,0.0,-1.0,-0.3799999999999999,-0.06564551422319465
2012-08-19,2012,barcelona,sociedad,1.1,9.0,26.0,0.8587,0.105,0.0363,2,2,1.1,1.1,0.10000000000000009,-0.2799999999999998,-0.05541284403669722
2012-08-19,2012,levante,ath madrid,3.2,3.4,2.2,0.2945,0.2772,0.4283,1,0,2.2,0.0,-1.0,-1.2799999999999998,-0.05763779527559065
2012-08-19,2012,real madrid,valencia,1.25,6.0,10.0,0.75,0.1562,0.0938,1,2,1.25,0.0,-1.0,-2.28,-0.0625
2012-08-20,2012,la coruna,osasuna,2.0,3.4,3.75,0.4713,0.2773,0.2514,2,2,2.0,2.0,1.0,-1.2799999999999998,-0.0573012939001849
2012-08-20,2012,vallecano,granada,2.2,3.3,3.3,0.4286,0.2857,0.2857,2,2,2.2,2.2,1.2000000000000002,-0.07999999999999963,-0.05714285714285705
2012-08-20,2012,zaragoza,valladolid,2.15,3.3,3.4,0.4379,0.2853,0.2769,0,2,2.15,0.0,-1.0,-1.0799999999999996,-0.05861463414634149
2012-08-25,2012,betis,vallecano,1.7,3.6,5.0,0.5518,0.2606,0.1876,0,2,1.7,0.0,-1.0,-2.0799999999999996,-0.06192519926425499
