Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2018-08-17,2018,betis,levante,1.66,4.0,5.0,0.5724,0.2376,0.19,0,2,1.66,0.0,-1.0,-1.0,-0.0497996565540928
2018-08-17,2018,girona,valladolid,1.75,3.6,5.0,0.5446,0.2648,0.1906,1,2,1.75,0.0,-1.0,-2.0,-0.04689863842662634
2018-08-18,2018,barcelona,alaves,1.11,10.0,21.0,0.8592,0.0954,0.0454,2,2,1.11,1.11,0.1100000000000001,-1.89,-0.046274702344421326
2018-08-18,2018,celta,espanol,1.85,3.5,4.5,0.5155,0.2725,0.2119,1,2,1.85,0.0,-1.0,-2.8899999999999997,-0.046235679214402414
2018-08-18,2018,villarreal,sociedad,2.04,3.4,3.8,0.468,0.2808,0.2512,0,2,2.04,0.0,-1.0,-3.8899999999999997,-0.04532019704433499
2018-08-19,2018,eibar,huesca,1.66,3.75,5.5,0.5732,0.2538,0.173,0,2,1.66,0.0,-1.0,-4.89,-0.04842968315730978
2018-08-19,2018,real madrid,getafe,1.2,7.0,13.0,0.7913,0.1357,0.073,2,2,1.2,1.2,0.19999999999999996,-4.6899999999999995,-0.050434782608695716
2018-08-19,2018,vallecano,sevilla,3.25,3.6,2.14,0.2923,0.2639,0.4439,0,0,2.14,2.14,1.1400000000000001,-3.5499999999999994,-0.05011571000417303
2018-08-20,2018,ath bilbao,leganes,1.75,3.3,5.5,0.541,0.2869,0.1721,2,2,1.75,1.75,0.75,-2.7999999999999994,-0.05327868852459028
2018-08-20,2018,valencia,ath madrid,3.0,3.2,2.5,0.3187,0.2988,0.3825,1,0,2.5,0.0,-1.0,-3.7999999999999994,-0.043824701195219085
2018-08-24,2018,getafe,eibar,1.95,3.2,4.33,0.4855,0.2959,0.2186,2,2,1.95,1.95,0.95,-2.8499999999999996,-0.05327002925769542
2018-08-24,2018,leganes,sociedad,3.5,3.3,2.1,0.2683,0.2846,0.4472,1,0,2.1,0.0,-1.0,-3.8499999999999996,-0.060975609756097615
2018-08-25,2018,alaves,betis,2.8,3.25,2.6,0.3403,0.2932,0.3665,1,0,2.6,0.0,-1.0,-4.85,-0.047120418848167644
2018-08-25,2018,ath madrid,vallecano,1.16,7.0,21.0,0.819,0.1357,0.0452,2,2,1.16,1.16,0.15999999999999992,-4.6899999999999995,-0.04992199687987542
2018-08-25,2018,valladolid,barcelona,17.0,7.5,1.16,0.0558,0.1265,0.8177,0,0,1.16,1.16,0.15999999999999992,-4.529999999999999,-0.05143663417136979
2018-08-26,2018,espanol,valencia,3.25,3.2,2.37,0.2953,0.2999,0.4049,2,0,2.37,0.0,-1.0,-5.529999999999999,-0.04042979775368394
2018-08-26,2018,girona,real madrid,8.0,5.5,1.36,0.1199,0.1745,0.7056,0,0,1.36,1.36,0.3600000000000001,-5.169999999999999,-0.04041051956382291
2018-08-26,2018,sevilla,villarreal,1.72,4.2,4.33,0.5535,0.2267,0.2199,1,2,1.72,0.0,-1.0,-6.169999999999999,-0.04801567978184651
2018-08-27,2018,ath bilbao,huesca,1.61,3.6,6.5,0.59,0.2639,0.1461,1,2,1.61,0.0,-1.0,-7.169999999999999,-0.050099594059655694
2018-08-27,2018,levante,celta,2.4,3.25,3.0,0.3939,0.2909,0.3152,0,2,2.4,0.0,-1.0,-8.169999999999998,-0.05454545454545445
2018-08-31,2018,eibar,sociedad,2.75,3.25,2.62,0.3453,0.2922,0.3625,2,0,2.62,0.0,-1.0,-9.169999999999998,-0.05033965324951828
2018-08-31,2018,getafe,valladolid,1.9,3.2,4.75,0.5016,0.2978,0.2006,1,2,1.9,0.0,-1.0,-10.169999999999998,-0.047021943573667846
2018-08-31,2018,villarreal,girona,1.57,4.0,6.0,0.6045,0.2373,0.1582,0,2,1.57,0.0,-1.0,-11.169999999999998,-0.050881612090679984
2018-09-01,2018,celta,ath madrid,5.5,3.4,1.75,0.1736,0.2808,0.5456,2,0,1.75,0.0,-1.0,-12.169999999999998,-0.04522246535375629
2018-09-01,2018,real madrid,leganes,1.12,9.0,21.0,0.8491,0.1057,0.0453,2,2,1.12,1.12,0.1200000000000001,-12.049999999999997,-0.049056603773584895
2018-09-02,2018,alaves,espanol,2.9,3.1,2.54,0.325,0.304,0.371,2,0,2.54,0.0,-1.0,-13.049999999999997,-0.05758976475443667
2018-09-02,2018,barcelona,huesca,1.08,11.0,29.0,0.8807,0.0865,0.0328,2,2,1.08,1.08,0.08000000000000007,-12.969999999999997,-0.048812810601877255
2018-09-02,2018,betis,sevilla,2.8,3.5,2.45,0.3398,0.2718,0.3883,2,0,2.45,0.0,-1.0,-13.969999999999997,-0.04854368932038833
