Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2024-08-15,2024,1,ath bilbao,getafe,1.48,4.0,8.0,0.6431,0.2379,0.119,1,2,1.48,0.0,-1.0,-1.0,-0.048231511254019255
2024-08-15,2024,1,betis,girona,2.35,3.4,3.0,0.4041,0.2793,0.3166,1,2,2.35,0.0,-1.0,-2.0,-0.05031695721077645
2024-08-16,2024,1,celta,alaves,2.0,3.2,4.1,0.4733,0.2958,0.2309,2,2,2.0,2.0,1.0,-1.0,-0.053391053391053434
2024-08-16,2024,1,las palmas,sevilla,2.8,3.25,2.63,0.3417,0.2944,0.3638,1,0,2.63,0.0,-1.0,-2.0,-0.04312016472422675
2024-08-17,2024,1,osasuna,leganes,1.85,3.3,4.5,0.5072,0.2843,0.2085,1,2,1.85,0.0,-1.0,-3.0,-0.06173155737704927
2024-08-17,2024,1,valencia,barcelona,4.75,3.8,1.73,0.2002,0.2502,0.5496,0,0,1.73,1.73,0.73,-2.27,-0.04917558576800696
2024-08-18,2024,1,sociedad,vallecano,1.57,3.75,7.0,0.6087,0.2548,0.1365,0,2,1.57,0.0,-1.0,-3.27,-0.04440322300156507
2024-08-18,2024,1,mallorca,real madrid,8.0,4.2,1.45,0.1187,0.2262,0.6551,1,0,1.45,0.0,-1.0,-4.27,-0.05010723337882639
2024-08-19,2024,1,valladolid,espanol,2.38,3.0,3.4,0.4011,0.3182,0.2807,2,2,2.38,2.38,1.38,-2.8899999999999997,-0.045454545454545525
2024-08-19,2024,1,villarreal,ath madrid,3.3,3.7,2.1,0.2887,0.2575,0.4537,1,0,2.1,0.0,-1.0,-3.8899999999999997,-0.04715719063545143
2024-08-23,2024,2,celta,valencia,2.1,3.4,3.6,0.4543,0.2806,0.265,2,2,2.1,2.1,1.1,-2.7899999999999996,-0.04587973273942081
2024-08-23,2024,2,sevilla,villarreal,2.4,3.6,2.8,0.3962,0.2642,0.3396,0,2,2.4,0.0,-1.0,-3.7899999999999996,-0.049056603773584895
2024-08-24,2024,2,barcelona,ath bilbao,1.62,4.2,5.0,0.5849,0.2256,0.1895,2,2,1.62,1.62,0.6200000000000001,-3.1699999999999995,-0.052473262032085355
2024-08-24,2024,2,osasuna,mallorca,2.45,3.1,3.1,0.3875,0.3062,0.3062,2,2,2.45,2.45,1.4500000000000002,-1.7199999999999993,-0.05062499999999992
2024-08-24,2024,2,getafe,vallecano,2.45,3.0,3.2,0.3873,0.3163,0.2965,1,2,2.45,0.0,-1.0,-2.7199999999999993,-0.05123033481242434
2024-08-24,2024,2,espanol,sociedad,3.9,3.2,2.05,0.2426,0.2957,0.4616,0,0,2.05,2.05,1.0499999999999998,-1.6699999999999995,-0.05367116700573327
2024-08-25,2024,2,real madrid,valladolid,1.18,7.5,15.0,0.8091,0.1273,0.0636,2,2,1.18,1.18,0.17999999999999994,-1.4899999999999995,-0.04530744336569592
2024-08-25,2024,2,leganes,las palmas,2.25,3.0,3.6,0.4211,0.3158,0.2632,2,2,2.25,2.25,1.25,-0.23999999999999955,-0.05263157894736836
2024-08-25,2024,2,alaves,betis,2.38,3.1,3.25,0.4,0.3071,0.2929,1,2,2.38,0.0,-1.0,-1.2399999999999995,-0.04801889788788316
2024-08-25,2024,2,ath madrid,girona,1.6,4.1,5.5,0.5948,0.2321,0.173,2,2,1.6,1.6,0.6000000000000001,-0.6399999999999995,-0.04827222368768136
2024-08-26,2024,3,villarreal,celta,1.91,3.4,3.8,0.4844,0.2721,0.2435,2,2,1.91,1.91,0.9099999999999999,0.27000000000000046,-0.07479004199160155
2024-08-27,2024,3,mallorca,sevilla,2.38,3.1,3.25,0.4,0.3071,0.2929,1,2,2.38,0.0,-1.0,-0.7299999999999995,-0.04801889788788316
2024-08-27,2024,3,vallecano,barcelona,5.25,3.8,1.62,0.1779,0.2457,0.5764,0,0,1.62,1.62,0.6200000000000001,-0.10999999999999943,-0.06622172141804616
2024-08-28,2024,3,sociedad,alaves,1.7,3.5,5.75,0.5614,0.2727,0.166,0,2,1.7,0.0,-1.0,-1.1099999999999994,-0.04567642956764295
2024-08-28,2024,3,valladolid,leganes,2.3,3.0,3.6,0.4157,0.3187,0.2656,1,2,2.3,0.0,-1.0,-2.1099999999999994,-0.04387990762124727
2024-08-28,2024,3,ath bilbao,valencia,1.62,3.9,5.75,0.5892,0.2448,0.166,2,2,1.62,1.62,0.6200000000000001,-1.4899999999999993,-0.04544379631089379
2024-08-28,2024,3,ath madrid,espanol,1.3,5.25,11.0,0.7322,0.1813,0.0865,1,2,1.3,0.0,-1.0,-2.4899999999999993,-0.048177496038034784
2024-08-29,2024,3,girona,osasuna,1.7,4.0,4.33,0.5502,0.2338,0.216,2,2,1.7,1.7,0.7,-1.7899999999999994,-0.06470569549887228
2024-08-29,2024,3,las palmas,real madrid,8.0,5.0,1.38,0.1191,0.1905,0.6904,1,0,1.38,0.0,-1.0,-2.789999999999999,-0.04729030031066617
2024-08-31,2024,4,barcelona,valladolid,1.25,6.25,10.0,0.7547,0.1509,0.0943,2,2,1.25,1.25,0.25,-2.539999999999999,-0.05660377358490565
2024-08-31,2024,4,ath bilbao,ath madrid,3.0,3.3,2.38,0.3155,0.2868,0.3977,0,0,2.38,2.38,1.38,-1.1599999999999993,-0.053506869125090395
2024-08-31,2024,4,espanol,vallecano,2.8,3.0,2.8,0.3409,0.3182,0.3409,2,0,2.8,0.0,-1.0,-2.1599999999999993,-0.045454545454545636
2024-08-31,2024,4,leganes,mallorca,2.5,3.0,3.2,0.3825,0.3187,0.2988,0,2,2.5,0.0,-1.0,-3.1599999999999993,-0.043824701195219085
2024-08-31,2024,4,valencia,villarreal,2.8,3.4,2.45,0.3371,0.2776,0.3853,1,0,2.45,0.0,-1.0,-4.159999999999999,-0.05609065155807369
2024-09-01,2024,4,alaves,las palmas,1.95,3.4,4.0,0.4852,0.2783,0.2365,2,2,1.95,1.95,0.95,-3.209999999999999,-0.05387085265786651
2024-09-01,2024,4,osasuna,celta,2.45,3.25,3.0,0.389,0.2933,0.3177,2,2,2.45,2.45,1.4500000000000002,-1.759999999999999,-0.04688279301745635
2024-09-01,2024,4,sevilla,girona,2.35,3.8,2.75,0.4044,0.2501,0.3456,0,2,2.35,0.0,-1.0,-2.759999999999999,-0.04972429138047796
2024-09-01,2024,4,getafe,sociedad,3.5,2.9,2.38,0.2719,0.3282,0.3999,1,0,2.38,0.0,-1.0,-3.759999999999999,-0.048262548262548166
2024-09-01,2024,4,real madrid,betis,1.29,5.75,9.5,0.7352,0.1649,0.0998,2,2,1.29,1.29,0.29000000000000004,-3.469999999999999,-0.05156633803290811
2024-09-13,2024,5,betis,leganes,1.62,3.7,6.25,0.5893,0.258,0.1527,2,2,1.62,1.62,0.6200000000000001,-2.8499999999999988,-0.04539547446743453
2024-09-14,2024,5,mallorca,villarreal,2.45,3.4,2.88,0.3889,0.2802,0.3308,0,2,2.45,0.0,-1.0,-3.8499999999999988,-0.047168162681706205
2024-09-14,2024,5,espanol,alaves,2.63,3.2,2.8,0.3622,0.2977,0.3402,2,2,2.63,2.63,1.63,-2.219999999999999,-0.047502021018593354
2024-09-14,2024,5,sevilla,getafe,2.2,3.0,3.7,0.4296,0.315,0.2554,2,2,2.2,2.2,1.2000000000000002,-1.0199999999999987,-0.054953560371516885
2024-09-14,2024,5,sociedad,real madrid,4.75,3.9,1.67,0.1975,0.2406,0.5619,0,0,1.67,1.67,0.6699999999999999,-0.34999999999999876,-0.061683929573406515
2024-09-15,2024,5,celta,valladolid,1.67,3.75,5.5,0.5718,0.2546,0.1736,2,2,1.67,1.67,0.6699999999999999,0.3200000000000012,-0.04515212419433079
2024-09-15,2024,5,girona,barcelona,4.2,3.8,1.8,0.2253,0.249,0.5257,0,0,1.8,1.8,0.8,1.1200000000000012,-0.05375494071146225
2024-09-15,2024,5,las palmas,ath bilbao,3.8,3.4,2.0,0.2489,0.2782,0.4729,0,0,2.0,2.0,1.0,2.120000000000001,-0.05417276720351394
2024-09-15,2024,5,ath madrid,valencia,1.33,4.5,11.0,0.706,0.2087,0.0854,2,2,1.33,1.33,0.33000000000000007,2.450000000000001,-0.061042572915923854
2024-09-16,2024,5,vallecano,osasuna,2.05,3.1,4.0,0.46,0.3042,0.2358,2,2,2.05,2.05,1.0499999999999998,3.500000000000001,-0.05694676312372482
2024-09-17,2024,7,mallorca,sociedad,2.9,2.75,3.0,0.331,0.349,0.32,2,1,2.75,0.0,-1.0,2.500000000000001,-0.04012036108324979
2024-09-18,2024,3,betis,getafe,1.91,3.0,5.0,0.4954,0.3154,0.1892,2,2,1.91,1.91,0.9099999999999999,3.410000000000001,-0.05383091149273456
2024-09-19,2024,7,leganes,ath bilbao,3.75,3.2,2.05,0.2499,0.2929,0.4572,0,0,2.05,2.05,1.0499999999999998,4.460000000000001,-0.06276788265549094
2024-09-20,2024,6,alaves,sevilla,2.15,3.1,3.7,0.4396,0.3049,0.2555,2,2,2.15,2.15,1.15,5.610000000000001,-0.05479110770410123
2024-09-21,2024,6,osasuna,las palmas,1.9,3.4,4.2,0.4972,0.2779,0.2249,2,2,1.9,1.9,0.8999999999999999,6.510000000000002,-0.05529247910863522
2024-09-21,2024,6,valencia,girona,2.88,3.3,2.5,0.3306,0.2885,0.3809,2,0,2.5,0.0,-1.0,5.510000000000002,-0.047848040394325664
2024-09-21,2024,6,valladolid,sociedad,3.9,3.0,2.2,0.2455,0.3192,0.4353,1,0,2.2,0.0,-1.0,4.510000000000002,-0.04241071428571419
2024-09-21,2024,6,real madrid,espanol,1.17,7.0,19.0,0.8139,0.136,0.0501,2,2,1.17,1.17,0.16999999999999993,4.6800000000000015,-0.04779096805776517
2024-09-22,2024,6,ath bilbao,celta,1.7,3.7,5.25,0.5608,0.2577,0.1816,2,2,1.7,1.7,0.7,5.380000000000002,-0.04669457274826794
2024-09-22,2024,6,getafe,leganes,2.05,2.8,4.75,0.4622,0.3384,0.1995,1,2,2.05,0.0,-1.0,4.380000000000002,-0.05255842237859443
2024-09-22,2024,6,vallecano,ath madrid,5.0,3.4,1.8,0.1905,0.2802,0.5293,1,0,1.8,0.0,-1.0,3.3800000000000017,-0.04732254047322537
2024-09-22,2024,6,villarreal,barcelona,3.9,3.9,1.85,0.2434,0.2434,0.5132,0,0,1.85,1.85,0.8500000000000001,4.230000000000002,-0.050657894736842235
2024-09-23,2024,6,betis,mallorca,1.85,3.3,4.75,0.5128,0.2875,0.1997,0,2,1.85,0.0,-1.0,3.230000000000002,-0.05132084730514441
2024-09-24,2024,7,sevilla,valladolid,1.65,3.8,5.5,0.5766,0.2504,0.173,2,2,1.65,1.65,0.6499999999999999,3.880000000000002,-0.04855842185129
