Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2025-08-15,2025,1,girona,vallecano,2.25,3.25,3.3,0.4212,0.2916,0.2872,0,2,2.25,0.0,-1.0,-1.0,-0.052282768777614175
2025-08-15,2025,1,villarreal,real oviedo,1.4,4.75,8.0,0.6804,0.2005,0.1191,2,2,1.4,1.4,0.3999999999999999,-0.6000000000000001,-0.047448522829006246
2025-08-16,2025,1,mallorca,barcelona,7.0,5.0,1.4,0.1351,0.1892,0.6757,0,0,1.4,1.4,0.3999999999999999,-0.20000000000000018,-0.05405405405405417
2025-08-16,2025,1,alaves,levante,2.15,3.0,3.8,0.4381,0.314,0.2479,2,2,2.15,2.15,1.15,0.9499999999999997,-0.058032282859339035
2025-08-16,2025,1,valencia,sociedad,2.6,2.9,3.1,0.3656,0.3278,0.3066,1,2,2.6,0.0,-1.0,-0.050000000000000266,-0.04945099633997552
2025-08-17,2025,1,ath bilbao,sevilla,1.57,3.9,6.0,0.6009,0.2419,0.1572,2,2,1.57,1.57,0.5700000000000001,0.5199999999999998,-0.05662121562283351
2025-08-17,2025,1,espanol,ath madrid,6.0,3.9,1.57,0.1572,0.2419,0.6009,2,0,1.57,0.0,-1.0,-0.4800000000000002,-0.05662121562283351
2025-08-17,2025,1,celta,getafe,1.73,3.5,5.25,0.5483,0.271,0.1807,0,2,1.73,0.0,-1.0,-1.4800000000000002,-0.05143603133159258
2025-08-18,2025,1,elche,betis,3.4,3.3,2.2,0.2797,0.2881,0.4322,1,0,2.2,0.0,-1.0,-2.4800000000000004,-0.04915254237288136
2025-08-19,2025,1,real madrid,osasuna,1.22,6.25,13.0,0.7758,0.1514,0.0728,2,2,1.22,1.22,0.21999999999999997,-2.2600000000000007,-0.053563756146464914
2025-08-22,2025,2,betis,alaves,1.91,3.4,4.2,0.4959,0.2786,0.2255,2,2,1.91,1.91,0.9099999999999999,-1.3500000000000008,-0.05282678149743025
2025-08-23,2025,2,levante,barcelona,11.0,6.0,1.25,0.086,0.1576,0.7564,0,0,1.25,1.25,0.25,-1.1000000000000008,-0.054441260744985565
2025-08-23,2025,2,mallorca,celta,3.15,3.05,2.45,0.3013,0.3112,0.3874,1,0,2.45,0.0,-1.0,-2.1000000000000005,-0.050776287932251196
2025-08-23,2025,2,ath madrid,elche,1.25,5.25,15.0,0.7568,0.1802,0.0631,1,2,1.25,0.0,-1.0,-3.1000000000000005,-0.054054054054053946
2025-08-24,2025,2,sociedad,espanol,1.8,3.4,5.0,0.5293,0.2802,0.1905,1,2,1.8,0.0,-1.0,-4.1000000000000005,-0.04732254047322537
2025-08-24,2025,2,osasuna,valencia,2.4,3.2,3.1,0.3962,0.2971,0.3067,2,2,2.4,2.4,1.4,-2.7000000000000006,-0.049201277955271516
2025-08-24,2025,2,real oviedo,real madrid,9.5,5.5,1.3,0.0997,0.1721,0.7282,0,0,1.3,1.3,0.30000000000000004,-2.4000000000000004,-0.05331010452961671
2025-08-24,2025,2,villarreal,girona,1.53,4.33,6.0,0.6218,0.2197,0.1585,2,2,1.53,1.53,0.53,-1.8700000000000003,-0.048713769806796314
2025-08-25,2025,2,ath bilbao,vallecano,1.7,3.5,5.5,0.5572,0.2706,0.1722,2,2,1.7,1.7,0.7,-1.1700000000000004,-0.05282199710564406
2025-08-25,2025,2,sevilla,getafe,2.25,3.0,3.6,0.4211,0.3158,0.2632,0,2,2.25,0.0,-1.0,-2.1700000000000004,-0.05263157894736836
2025-08-27,2025,6,celta,betis,2.2,3.4,3.25,0.4303,0.2784,0.2913,1,2,2.2,0.0,-1.0,-3.1700000000000004,-0.053348909657320975
2025-08-29,2025,3,elche,levante,2.15,3.25,3.5,0.4394,0.2907,0.2699,2,2,2.15,2.15,1.15,-2.0200000000000005,-0.05528730082085953
2025-08-29,2025,3,valencia,getafe,2.25,3.0,3.55,0.4195,0.3146,0.2659,2,2,2.25,2.25,1.25,-0.7700000000000005,-0.056129985228951296
2025-08-30,2025,3,real oviedo,sociedad,3.5,3.1,2.25,0.2714,0.3064,0.4222,2,0,2.25,0.0,-1.0,-1.7700000000000005,-0.050097276264591484
2025-08-30,2025,3,alaves,ath madrid,4.75,3.5,1.8,0.2002,0.2716,0.5282,1,0,1.8,0.0,-1.0,-2.7700000000000005,-0.04924543288324046
2025-08-30,2025,3,real madrid,mallorca,1.18,7.0,15.0,0.8018,0.1352,0.0631,2,2,1.18,1.18,0.17999999999999994,-2.5900000000000007,-0.05390959071472212
2025-08-30,2025,3,girona,sevilla,2.4,3.3,3.0,0.3957,0.2878,0.3165,0,2,2.4,0.0,-1.0,-3.5900000000000007,-0.050359712230215736
2025-08-31,2025,3,celta,villarreal,2.75,3.5,2.5,0.3465,0.2723,0.3812,1,0,2.5,0.0,-1.0,-4.590000000000001,-0.04702970297029685
2025-08-31,2025,3,betis,ath bilbao,3.25,3.2,2.3,0.2917,0.2962,0.4121,0,0,2.3,2.3,1.2999999999999998,-3.290000000000001,-0.05211016445413108
2025-08-31,2025,3,espanol,osasuna,2.3,3.25,3.1,0.4082,0.2889,0.3029,2,2,2.3,2.3,1.2999999999999998,-1.990000000000001,-0.061081847649919085
2025-08-31,2025,3,vallecano,barcelona,6.25,5.5,1.4,0.1515,0.1722,0.6763,1,0,1.4,0.0,-1.0,-2.990000000000001,-0.05312346286276459
2025-09-12,2025,4,sevilla,elche,1.85,3.4,4.5,0.5114,0.2783,0.2103,1,2,1.85,0.0,-1.0,-3.990000000000001,-0.05381915427043271
2025-09-13,2025,4,ath bilbao,alaves,1.6,3.9,5.75,0.5922,0.243,0.1648,0,2,1.6,0.0,-1.0,-4.990000000000001,-0.05242308200184853
2025-09-13,2025,4,ath madrid,villarreal,1.8,3.7,4.33,0.5257,0.2558,0.2185,2,2,1.8,1.8,0.8,-4.190000000000001,-0.05372272354388841
2025-09-13,2025,4,getafe,real oviedo,1.95,3.1,4.5,0.4849,0.305,0.2101,2,2,1.95,1.95,0.95,-3.240000000000001,-0.05448383733055273
2025-09-13,2025,4,sociedad,real madrid,5.0,4.33,1.6,0.1894,0.2187,0.5919,0,0,1.6,1.6,0.6000000000000001,-2.640000000000001,-0.052982667176991516
2025-09-14,2025,4,celta,girona,1.73,3.9,4.75,0.5532,0.2454,0.2015,1,2,1.73,0.0,-1.0,-3.640000000000001,-0.043035876916645566
2025-09-14,2025,4,levante,betis,3.25,3.25,2.3,0.293,0.293,0.414,1,0,2.3,0.0,-1.0,-4.640000000000001,-0.04777070063694289
2025-09-14,2025,4,osasuna,vallecano,2.55,3.2,2.9,0.3737,0.2978,0.3286,2,2,2.55,2.55,1.5499999999999998,-3.0900000000000007,-0.04715119790618083
2025-09-14,2025,4,barcelona,valencia,1.22,7.0,11.0,0.7781,0.1356,0.0863,2,2,1.22,1.22,0.21999999999999997,-2.870000000000001,-0.050727566693613446
2025-09-15,2025,4,espanol,mallorca,2.1,3.4,3.5,0.4509,0.2785,0.2706,2,2,2.1,2.1,1.1,-1.770000000000001,-0.053050397877983935
2025-09-19,2025,5,betis,sociedad,2.05,3.1,4.0,0.46,0.3042,0.2358,2,2,2.05,2.05,1.0499999999999998,-0.7200000000000011,-0.05694676312372482
2025-09-20,2025,5,girona,levante,1.9,3.5,3.9,0.4926,0.2674,0.24,0,2,1.9,0.0,-1.0,-1.720000000000001,-0.06405629736557206
2025-09-20,2025,5,alaves,sevilla,2.4,3.1,3.0,0.3885,0.3008,0.3108,0,2,2.4,0.0,-1.0,-2.720000000000001,-0.06766917293233077
2025-09-20,2025,5,valencia,ath bilbao,3.2,3.0,2.45,0.2965,0.3163,0.3873,2,0,2.45,0.0,-1.0,-3.720000000000001,-0.05123033481242434
2025-09-20,2025,5,villarreal,osasuna,1.53,4.1,5.75,0.61,0.2276,0.1623,2,2,1.53,1.53,0.53,-3.1900000000000013,-0.06665070965571662
2025-09-20,2025,5,real madrid,espanol,1.22,7.0,11.0,0.7781,0.1356,0.0863,2,2,1.22,1.22,0.21999999999999997,-2.9700000000000015,-0.050727566693613446
2025-09-21,2025,5,vallecano,celta,2.3,3.3,3.1,0.41,0.2858,0.3042,1,2,2.3,0.0,-1.0,-3.9700000000000015,-0.056953907815631255
2025-09-21,2025,5,mallorca,ath madrid,5.0,3.5,1.75,0.1892,0.2703,0.5405,1,0,1.75,0.0,-1.0,-4.9700000000000015,-0.05405405405405417
2025-09-21,2025,5,elche,real oviedo,2.05,3.0,4.1,0.458,0.313,0.229,2,2,2.05,2.05,1.0499999999999998,-3.9200000000000017,-0.06106870229007644
2025-09-21,2025,5,barcelona,getafe,1.25,6.25,9.5,0.751,0.1502,0.0988,2,2,1.25,1.25,0.25,-3.6700000000000017,-0.06126482213438733
