Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2010-08-28,2010,levante,sevilla,3.6,3.5,2.0,0.2612,0.2687,0.4701,0,0,2.0,2.0,1.0,1.0,-0.05970149253731338
2010-08-28,2010,malaga,valencia,2.88,3.3,2.4,0.3254,0.284,0.3905,0,0,2.4,2.4,1.4,2.4,-0.06272189349112434
2010-08-28,2010,hercules,ath bilbao,2.5,3.25,2.8,0.3756,0.289,0.3354,0,2,2.5,0.0,-1.0,1.4,-0.06088751289989669
2010-08-29,2010,espanol,getafe,2.1,3.3,3.5,0.4472,0.2846,0.2683,2,2,2.1,2.1,1.1,2.5,-0.060975609756097615
2010-08-29,2010,la coruna,zaragoza,2.1,3.3,3.5,0.4472,0.2846,0.2683,1,2,2.1,0.0,-1.0,1.5,-0.060975609756097615
2010-08-29,2010,mallorca,real madrid,8.0,4.75,1.36,0.1167,0.1966,0.6867,1,0,1.36,0.0,-1.0,0.5,-0.06613661004698212
2010-08-29,2010,osasuna,almeria,2.0,3.4,3.75,0.4713,0.2773,0.2514,1,2,2.0,0.0,-1.0,-0.5,-0.0573012939001849
2010-08-29,2010,santander,barcelona,15.0,6.0,1.2,0.0625,0.1562,0.7812,0,0,1.2,1.2,0.19999999999999996,-0.30000000000000004,-0.0625
2010-08-29,2010,sociedad,villarreal,3.0,3.25,2.38,0.3141,0.2899,0.3959,2,0,2.38,0.0,-1.0,-1.3,-0.05766497461928932
2010-08-30,2010,ath madrid,sp gijon,1.53,4.0,6.0,0.6107,0.2336,0.1557,2,2,1.53,1.53,0.53,-0.77,-0.06564885496183204
2010-09-11,2010,ath bilbao,ath madrid,3.0,3.25,2.38,0.3141,0.2899,0.3959,0,0,2.38,2.38,1.38,0.6099999999999999,-0.05766497461928932
2010-09-11,2010,barcelona,hercules,1.06,11.0,34.0,0.8869,0.0855,0.0276,0,2,1.06,0.0,-1.0,-0.3900000000000001,-0.059900403130187185
2010-09-11,2010,real madrid,osasuna,1.17,6.5,17.0,0.8008,0.1441,0.0551,2,2,1.17,1.17,0.16999999999999993,-0.2200000000000002,-0.06311822892133767
2010-09-11,2010,valencia,santander,1.44,4.33,7.0,0.6501,0.2162,0.1337,2,2,1.44,1.44,0.43999999999999995,0.21999999999999975,-0.06388819779861543
2010-09-12,2010,getafe,levante,1.57,3.8,6.0,0.5971,0.2467,0.1562,2,2,1.57,1.57,0.5700000000000001,0.7899999999999998,-0.06258838317708071
2010-09-12,2010,sp gijon,mallorca,2.4,3.3,2.9,0.3914,0.2847,0.3239,2,2,2.4,2.4,1.4,2.1899999999999995,-0.06061349693251539
2010-09-12,2010,villarreal,espanol,1.8,3.5,4.5,0.5224,0.2687,0.209,2,2,1.8,1.8,0.8,2.9899999999999993,-0.05970149253731327
2010-09-12,2010,sevilla,la coruna,1.5,4.0,7.0,0.6292,0.236,0.1348,1,2,1.5,0.0,-1.0,1.9899999999999993,-0.0561797752808989
2010-09-12,2010,zaragoza,malaga,1.91,3.4,4.0,0.4904,0.2755,0.2342,0,2,1.91,0.0,-1.0,0.9899999999999993,-0.06338789932934308
2010-09-13,2010,almeria,sociedad,2.2,3.25,3.3,0.4267,0.2888,0.2845,1,2,2.2,0.0,-1.0,-0.010000000000000675,-0.06126914660831506
2010-09-18,2010,espanol,almeria,2.0,3.3,3.75,0.4674,0.2833,0.2493,2,2,2.0,2.0,1.0,0.9899999999999993,-0.06515580736543902
2010-09-18,2010,mallorca,osasuna,1.91,3.4,4.0,0.4904,0.2755,0.2342,2,2,1.91,1.91,0.9099999999999999,1.8999999999999992,-0.06338789932934308
2010-09-18,2010,sociedad,real madrid,8.5,4.6,1.36,0.1099,0.2031,0.687,0,0,1.36,1.36,0.3600000000000001,2.2599999999999993,-0.06571087216248495
