Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2022-08-12,2022,osasuna,sevilla,3.2,3.1,2.4,0.2971,0.3067,0.3962,2,0,2.4,0.0,-1.0,-1.0,-0.049201277955271516
2022-08-13,2022,celta,espanol,1.8,3.75,4.75,0.5379,0.2582,0.2039,1,2,1.8,0.0,-1.0,-2.0,-0.03171007927519809
2022-08-13,2022,valladolid,villarreal,3.9,3.6,1.9,0.2418,0.2619,0.4963,0,0,1.9,1.9,0.8999999999999999,-1.1,-0.057051961823966324
2022-08-13,2022,barcelona,vallecano,1.22,7.0,12.0,0.7837,0.1366,0.0797,1,2,1.22,0.0,-1.0,-2.1,-0.04385146482552704
2022-08-14,2022,cadiz,sociedad,3.6,3.2,2.2,0.2659,0.2991,0.435,0,0,2.2,2.2,1.2000000000000002,-0.8999999999999999,-0.04290030211480356
2022-08-14,2022,valencia,girona,1.85,3.4,4.5,0.5114,0.2783,0.2103,2,2,1.85,1.85,0.8500000000000001,-0.04999999999999982,-0.05381915427043271
2022-08-14,2022,almeria,real madrid,7.5,5.0,1.4,0.1273,0.1909,0.6818,0,0,1.4,1.4,0.3999999999999999,0.3500000000000001,-0.045454545454545636
2022-08-15,2022,betis,elche,1.44,4.5,7.0,0.6554,0.2097,0.1348,2,2,1.44,1.44,0.43999999999999995,0.79,-0.056179775280899014
2022-08-15,2022,ath bilbao,mallorca,1.6,3.75,6.5,0.5978,0.2551,0.1471,1,2,1.6,0.0,-1.0,-0.20999999999999996,-0.04353157572041666
2022-08-15,2022,getafe,ath madrid,5.0,3.1,1.9,0.1907,0.3075,0.5018,0,0,1.9,1.9,0.8999999999999999,0.69,-0.046617028164454566
2022-08-19,2022,espanol,vallecano,2.45,3.1,3.1,0.3875,0.3062,0.3062,0,2,2.45,0.0,-1.0,-0.31000000000000005,-0.05062499999999992
2022-08-19,2022,sevilla,valladolid,1.5,4.2,6.5,0.6298,0.2249,0.1453,1,2,1.5,0.0,-1.0,-1.31,-0.05536332179930781
2022-08-20,2022,osasuna,cadiz,1.9,3.25,4.5,0.4983,0.2913,0.2104,2,2,1.9,1.9,0.8999999999999999,-0.41000000000000014,-0.05323679727427599
2022-08-20,2022,mallorca,betis,3.1,3.2,2.4,0.3067,0.2971,0.3962,0,0,2.4,2.4,1.4,0.9899999999999998,-0.049201277955271516
2022-08-20,2022,celta,real madrid,4.5,4.2,1.66,0.2091,0.224,0.5669,0,0,1.66,1.66,0.6599999999999999,1.6499999999999997,-0.05902465359006648
2022-08-21,2022,ath bilbao,valencia,1.8,3.75,4.5,0.5319,0.2553,0.2128,2,2,1.8,1.8,0.8,2.4499999999999997,-0.04255319148936154
2022-08-21,2022,ath madrid,villarreal,1.85,3.5,4.33,0.5113,0.2703,0.2185,0,2,1.85,0.0,-1.0,1.4499999999999997,-0.0541067120999984
2022-08-21,2022,sociedad,barcelona,3.3,3.6,2.1,0.2867,0.2628,0.4505,0,0,2.1,2.1,1.1,2.55,-0.05392491467576799
2022-08-22,2022,elche,almeria,2.5,3.2,3.0,0.3825,0.2988,0.3187,1,2,2.5,0.0,-1.0,1.5499999999999998,-0.043824701195219085
