Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2023-08-11,2023,1,almeria,vallecano,2.45,3.3,2.9,0.3865,0.287,0.3265,0,2,2.45,0.0,-1.0,-1.0,-0.05304927302100171
2023-08-11,2023,1,sevilla,valencia,1.91,3.5,4.2,0.4999,0.2728,0.2273,0,2,1.91,0.0,-1.0,-2.0,-0.04522732682694608
2023-08-12,2023,1,sociedad,girona,1.62,4.0,5.25,0.5836,0.2363,0.1801,1,2,1.62,0.0,-1.0,-3.0,-0.054606085869111975
2023-08-12,2023,1,las palmas,mallorca,2.4,3.0,3.3,0.3957,0.3165,0.2878,1,2,2.4,0.0,-1.0,-4.0,-0.050359712230215736
2023-08-12,2023,1,ath bilbao,real madrid,3.3,3.5,2.15,0.2875,0.2711,0.4413,0,0,2.15,2.15,1.15,-2.85,-0.05110813909056178
2023-08-13,2023,1,celta,osasuna,2.05,3.2,3.9,0.4616,0.2957,0.2426,0,2,2.05,0.0,-1.0,-3.85,-0.05367116700573327
2023-08-13,2023,1,villarreal,betis,1.75,4.0,4.2,0.5393,0.236,0.2247,0,2,1.75,0.0,-1.0,-4.85,-0.0561797752808989
2023-08-13,2023,1,getafe,barcelona,6.5,3.8,1.57,0.146,0.2497,0.6043,1,0,1.57,0.0,-1.0,-5.85,-0.05118543710699508
2023-08-14,2023,1,cadiz,alaves,2.2,3.0,3.75,0.431,0.3161,0.2529,2,2,2.2,2.2,1.2000000000000002,-4.6499999999999995,-0.051724137931034364
2023-08-14,2023,1,ath madrid,granada,1.3,5.5,9.5,0.7282,0.1721,0.0997,2,2,1.3,1.3,0.30000000000000004,-4.35,-0.05331010452961682
2023-08-18,2023,2,mallorca,villarreal,2.8,3.2,2.6,0.3388,0.2964,0.3648,0,0,2.6,2.6,1.6,-2.7499999999999996,-0.051465798045602695
2023-08-18,2023,2,valencia,las palmas,1.57,3.9,6.0,0.6009,0.2419,0.1572,2,2,1.57,1.57,0.5700000000000001,-2.1799999999999997,-0.05662121562283351
2023-08-19,2023,2,sociedad,celta,1.73,3.4,5.5,0.5484,0.2791,0.1725,1,2,1.73,0.0,-1.0,-3.1799999999999997,-0.05120685104261369
2023-08-19,2023,2,almeria,real madrid,8.0,4.75,1.4,0.1191,0.2005,0.6804,0,0,1.4,1.4,0.3999999999999999,-2.78,-0.047448522829006246
2023-08-19,2023,2,osasuna,ath bilbao,2.9,3.0,2.63,0.3258,0.3149,0.3593,0,0,2.63,2.63,1.63,-1.15,-0.055167857290333244
