Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2021-08-13,2021,valencia,getafe,2.55,3.0,3.1,0.3742,0.318,0.3078,2,2,2.55,2.55,1.5499999999999998,1.5499999999999998,-0.04586602293301145
2021-08-14,2021,cadiz,levante,2.8,3.25,2.6,0.3403,0.2932,0.3665,1,0,2.6,0.0,-1.0,0.5499999999999998,-0.047120418848167644
2021-08-14,2021,mallorca,betis,3.3,3.4,2.2,0.2881,0.2797,0.4322,1,0,2.2,0.0,-1.0,-0.4500000000000002,-0.04915254237288136
2021-08-14,2021,alaves,real madrid,7.0,4.75,1.44,0.1363,0.2009,0.6627,0,0,1.44,1.44,0.43999999999999995,-0.010000000000000231,-0.045644807653976494
2021-08-14,2021,osasuna,espanol,2.25,3.2,3.4,0.4229,0.2973,0.2798,1,2,2.25,0.0,-1.0,-1.0100000000000002,-0.04858142246404984
2021-08-15,2021,celta,ath madrid,4.2,3.4,1.9,0.2249,0.2779,0.4972,0,0,1.9,1.9,0.8999999999999999,-0.11000000000000032,-0.05529247910863522
2021-08-15,2021,barcelona,sociedad,1.72,4.0,4.5,0.5518,0.2373,0.2109,2,2,1.72,1.72,0.72,0.6099999999999997,-0.050889025137952126
2021-08-15,2021,sevilla,vallecano,1.44,4.2,8.0,0.6567,0.2251,0.1182,2,2,1.44,1.44,0.43999999999999995,1.0499999999999996,-0.054409005628517915
2021-08-16,2021,villarreal,granada,1.53,4.2,6.5,0.6251,0.2277,0.1471,1,2,1.53,0.0,-1.0,0.0499999999999996,-0.04355292986192194
2021-08-16,2021,elche,ath bilbao,3.8,3.3,2.05,0.2497,0.2875,0.4628,1,0,2.05,0.0,-1.0,-0.9500000000000004,-0.05122716368333646
2021-08-20,2021,betis,cadiz,1.5,4.2,7.0,0.6364,0.2273,0.1364,1,2,1.5,0.0,-1.0,-1.9500000000000004,-0.0454545454545453
2021-08-21,2021,alaves,mallorca,2.25,3.2,3.4,0.4229,0.2973,0.2798,0,2,2.25,0.0,-1.0,-2.95,-0.04858142246404984
2021-08-21,2021,espanol,villarreal,3.1,3.4,2.3,0.3068,0.2797,0.4135,1,0,2.3,0.0,-1.0,-3.95,-0.04896037661828179
2021-08-21,2021,granada,valencia,2.45,3.4,2.87,0.3885,0.2799,0.3316,1,2,2.45,0.0,-1.0,-4.95,-0.04826529190469553
2021-08-21,2021,ath bilbao,barcelona,4.0,3.75,1.85,0.2365,0.2522,0.5113,1,0,1.85,0.0,-1.0,-5.95,-0.054111631870472854
2021-08-22,2021,sociedad,vallecano,1.44,4.33,7.5,0.6559,0.2181,0.1259,2,2,1.44,1.44,0.43999999999999995,-5.51,-0.05546735824133209
2021-08-22,2021,ath madrid,elche,1.22,5.75,17.0,0.7789,0.1653,0.0559,2,2,1.22,1.22,0.21999999999999997,-5.29,-0.04979881279630283
2021-08-22,2021,levante,real madrid,5.0,4.33,1.6,0.1894,0.2187,0.5919,1,0,1.6,0.0,-1.0,-6.29,-0.052982667176991516
2021-08-23,2021,getafe,sevilla,3.5,3.2,2.2,0.2714,0.2968,0.4318,0,0,2.2,2.2,1.2000000000000002,-5.09,-0.050115651503469416
2021-08-23,2021,osasuna,celta,2.62,3.25,2.75,0.3625,0.2922,0.3453,1,2,2.62,0.0,-1.0,-6.09,-0.05033965324951828
2021-08-27,2021,mallorca,espanol,2.6,2.9,3.1,0.3656,0.3278,0.3066,2,2,2.6,2.6,1.6,-4.49,-0.04945099633997552
2021-08-27,2021,valencia,alaves,1.75,3.6,4.75,0.5392,0.2621,0.1987,2,2,1.75,1.75,0.75,-3.74,-0.05636578636184453
2021-08-28,2021,elche,sevilla,5.0,3.6,1.72,0.1888,0.2623,0.5489,1,0,1.72,0.0,-1.0,-4.74,-0.05586728470358626
2021-08-28,2021,celta,ath bilbao,2.4,3.2,3.1,0.3962,0.2971,0.3067,0,2,2.4,0.0,-1.0,-5.74,-0.049201277955271516
2021-08-28,2021,betis,real madrid,4.2,3.8,1.8,0.2253,0.249,0.5257,0,0,1.8,1.8,0.8,-4.94,-0.05375494071146225
2021-08-28,2021,sociedad,levante,1.53,4.2,6.0,0.6176,0.225,0.1575,2,2,1.53,1.53,0.53,-4.41,-0.05513895015438908
2021-08-29,2021,barcelona,getafe,1.4,4.75,7.5,0.675,0.199,0.126,2,2,1.4,1.4,0.3999999999999999,-4.01,-0.054950260540028606
2021-08-29,2021,cadiz,osasuna,3.2,3.0,2.45,0.2965,0.3163,0.3873,0,0,2.45,2.45,1.4500000000000002,-2.5599999999999996,-0.05123033481242434
2021-08-29,2021,vallecano,granada,2.55,3.2,2.87,0.3724,0.2967,0.3309,2,2,2.55,2.55,1.5499999999999998,-1.0099999999999998,-0.05041256969082608
2021-08-29,2021,ath madrid,villarreal,1.75,3.4,5.25,0.5411,0.2785,0.1804,1,2,1.75,0.0,-1.0,-2.01,-0.05305039787798427
2021-09-11,2021,levante,vallecano,2.1,3.4,3.5,0.4509,0.2785,0.2706,1,2,2.1,0.0,-1.0,-3.01,-0.053050397877983935
2021-09-11,2021,ath bilbao,mallorca,1.72,3.6,5.25,0.5539,0.2646,0.1815,2,2,1.72,1.72,0.72,-2.29,-0.04730086161420788
2021-09-12,2021,espanol,ath madrid,4.33,3.3,1.9,0.2178,0.2858,0.4964,0,0,1.9,1.9,0.8999999999999999,-1.3900000000000001,-0.05686444799555335
2021-09-12,2021,osasuna,valencia,2.4,3.2,3.1,0.3962,0.2971,0.3067,0,2,2.4,0.0,-1.0,-2.39,-0.049201277955271516
2021-09-12,2021,cadiz,sociedad,5.0,3.6,1.75,0.1906,0.2648,0.5446,0,0,1.75,1.75,0.75,-1.6400000000000001,-0.04689863842662634
2021-09-12,2021,real madrid,celta,1.36,5.25,8.0,0.6998,0.1813,0.119,2,2,1.36,1.36,0.3600000000000001,-1.28,-0.048317227590802814
2021-09-13,2021,getafe,elche,1.8,3.4,4.75,0.524,0.2774,0.1986,0,2,1.8,0.0,-1.0,-2.2800000000000002,-0.056781310837118903
2021-09-13,2021,granada,betis,3.1,3.25,2.37,0.3066,0.2924,0.401,0,0,2.37,2.37,1.37,-0.9100000000000001,-0.049622878067225096
2021-09-17,2021,celta,cadiz,1.45,4.33,7.0,0.6485,0.2172,0.1343,0,2,1.45,0.0,-1.0,-1.9100000000000001,-0.05967243279095402
2021-09-18,2021,vallecano,getafe,2.37,2.9,3.4,0.3977,0.325,0.2772,2,2,2.37,2.37,1.37,-0.54,-0.05739179540962458
2021-09-18,2021,ath madrid,ath bilbao,1.65,3.6,6.0,0.5769,0.2644,0.1587,1,2,1.65,0.0,-1.0,-1.54,-0.04807692307692324
2021-09-18,2021,elche,levante,2.4,3.1,3.2,0.3962,0.3067,0.2971,1,2,2.4,0.0,-1.0,-2.54,-0.049201277955271516
2021-09-18,2021,alaves,osasuna,3.1,3.0,2.55,0.3078,0.318,0.3742,0,0,2.55,2.55,1.5499999999999998,-0.9900000000000002,-0.04586602293301145
2021-09-19,2021,mallorca,villarreal,3.5,3.0,2.3,0.2711,0.3163,0.4126,1,0,2.3,0.0,-1.0,-1.9900000000000002,-0.05108055009823198
2021-09-19,2021,sociedad,sevilla,2.55,3.2,2.87,0.3724,0.2967,0.3309,1,2,2.55,0.0,-1.0,-2.99,-0.05041256969082608
2021-09-19,2021,betis,espanol,2.0,3.2,4.2,0.4759,0.2975,0.2266,1,2,2.0,0.0,-1.0,-3.99,-0.04815864022662897
2021-09-19,2021,valencia,real madrid,3.8,3.8,1.9,0.25,0.25,0.5,0,0,1.9,1.9,0.8999999999999999,-3.0900000000000003,-0.050000000000000044
2021-09-20,2021,barcelona,granada,1.28,5.75,10.0,0.7404,0.1648,0.0948,1,2,1.28,0.0,-1.0,-4.09,-0.05227916559361312
2021-09-21,2021,getafe,ath madrid,6.0,3.5,1.66,0.158,0.2709,0.5711,0,0,1.66,1.66,0.6599999999999999,-3.4299999999999997,-0.05194451998912175
2021-09-21,2021,ath bilbao,vallecano,1.85,3.5,4.33,0.5113,0.2703,0.2185,0,2,1.85,0.0,-1.0,-4.43,-0.0541067120999984
2021-09-21,2021,levante,celta,2.6,3.4,2.7,0.3666,0.2804,0.353,0,2,2.6,0.0,-1.0,-5.43,-0.04680511182108649
2021-09-22,2021,sevilla,valencia,1.61,3.8,6.0,0.591,0.2504,0.1586,2,2,1.61,1.61,0.6100000000000001,-4.819999999999999,-0.04847322308051216
2021-09-22,2021,espanol,alaves,1.8,3.5,4.75,0.5282,0.2716,0.2002,2,2,1.8,1.8,0.8,-4.02,-0.04924543288324046
2021-09-22,2021,villarreal,elche,1.5,4.2,6.5,0.6298,0.2249,0.1453,2,2,1.5,1.5,0.5,-3.5199999999999996,-0.05536332179930781
2021-09-22,2021,real madrid,mallorca,1.22,6.5,12.0,0.7756,0.1456,0.0789,2,2,1.22,1.22,0.21999999999999997,-3.3,-0.05379337774684301
2021-09-23,2021,granada,sociedad,4.2,3.4,1.9,0.2249,0.2779,0.4972,0,0,1.9,1.9,0.8999999999999999,-2.4,-0.05529247910863522
2021-09-23,2021,osasuna,betis,2.37,3.25,3.0,0.3969,0.2895,0.3136,0,2,2.37,0.0,-1.0,-3.4,-0.059236641221374065
2021-09-23,2021,cadiz,barcelona,6.0,4.33,1.5,0.1566,0.217,0.6264,1,0,1.5,0.0,-1.0,-4.4,-0.06039783001808319
2021-09-25,2021,alaves,ath madrid,7.5,4.0,1.5,0.127,0.2381,0.6349,2,0,1.5,0.0,-1.0,-5.4,-0.04761904761904745
