Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2019-08-16,2019,1,ath bilbao,barcelona,5.25,3.8,1.65,0.1797,0.2483,0.5719,2,0,1.65,0.0,-1.0,-1.0,-0.056331971619006715
2019-08-17,2019,1,leganes,osasuna,2.0,3.2,4.2,0.4759,0.2975,0.2266,0,2,2.0,0.0,-1.0,-2.0,-0.04815864022662897
2019-08-17,2019,1,villarreal,granada,1.6,3.8,6.5,0.5998,0.2525,0.1476,1,2,1.6,0.0,-1.0,-3.0,-0.040310830500242645
2019-08-17,2019,1,celta,real madrid,4.75,4.2,1.65,0.1996,0.2258,0.5746,0,0,1.65,1.65,0.6499999999999999,-2.35,-0.051847051198962935
2019-08-17,2019,1,valencia,sociedad,1.66,3.75,5.5,0.5732,0.2538,0.173,1,2,1.66,0.0,-1.0,-3.35,-0.04842968315730978
2019-08-17,2019,1,mallorca,eibar,2.8,3.2,2.6,0.3388,0.2964,0.3648,2,0,2.6,0.0,-1.0,-4.35,-0.051465798045602695
2019-08-18,2019,1,alaves,levante,2.15,3.2,3.6,0.4407,0.2961,0.2632,2,2,2.15,2.15,1.15,-3.1999999999999997,-0.05248661055853088
2019-08-18,2019,1,espanol,sevilla,3.2,3.3,2.3,0.2975,0.2885,0.414,0,0,2.3,2.3,1.2999999999999998,-1.9,-0.04790278322226571
2019-08-18,2019,1,betis,valladolid,1.66,3.75,5.5,0.5732,0.2538,0.173,0,2,1.66,0.0,-1.0,-2.9,-0.04842968315730978
2019-08-18,2019,1,ath madrid,getafe,1.44,4.33,8.0,0.6611,0.2199,0.119,2,2,1.44,1.44,0.43999999999999995,-2.46,-0.04797386020093464
2019-08-23,2019,2,granada,sevilla,3.6,3.6,1.95,0.26,0.26,0.48,0,0,1.95,1.95,0.95,-1.51,-0.06400000000000006
2019-08-23,2019,2,levante,villarreal,2.55,3.4,2.62,0.3672,0.2754,0.3574,2,2,2.55,2.55,1.5499999999999998,0.039999999999999813,-0.06362999299229144
2019-08-24,2019,2,osasuna,eibar,2.5,3.2,2.9,0.3783,0.2956,0.3261,1,2,2.5,0.0,-1.0,-0.9600000000000002,-0.05421932327761925
2019-08-24,2019,2,real madrid,valladolid,1.2,6.5,13.0,0.7831,0.1446,0.0723,1,2,1.2,0.0,-1.0,-1.9600000000000002,-0.06024096385542166
2019-08-24,2019,2,celta,valencia,3.1,3.4,2.25,0.304,0.2772,0.4188,2,0,2.25,0.0,-1.0,-2.96,-0.05761970991456389
2019-08-24,2019,2,getafe,ath bilbao,2.6,3.0,2.9,0.3619,0.3136,0.3245,1,2,2.6,0.0,-1.0,-3.96,-0.059068219633943375
2019-08-25,2019,2,alaves,espanol,2.45,3.2,3.0,0.3873,0.2965,0.3163,1,2,2.45,0.0,-1.0,-4.96,-0.05123033481242434
2019-08-25,2019,2,mallorca,sociedad,3.1,3.1,2.4,0.3038,0.3038,0.3924,0,0,2.4,2.4,1.4,-3.56,-0.0582278481012658
2019-08-25,2019,2,leganes,ath madrid,4.75,3.4,1.8,0.1986,0.2774,0.524,0,0,1.8,1.8,0.8,-2.76,-0.056781310837118903
