Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2020-09-12,2020,eibar,celta,2.5,3.25,2.9,0.38,0.2923,0.3276,1,2,2.5,0.0,-1.0,-1.0,-0.04989919354838701
2020-09-12,2020,granada,ath bilbao,2.75,3.1,2.75,0.3464,0.3073,0.3464,2,0,2.75,0.0,-1.0,-2.0,-0.04748603351955305
2020-09-12,2020,cadiz,osasuna,2.8,3.0,2.75,0.3388,0.3162,0.345,0,0,2.75,2.75,1.75,-0.25,-0.05133470225872672
2020-09-13,2020,alaves,betis,2.8,3.2,2.6,0.3388,0.2964,0.3648,0,0,2.6,2.6,1.6,1.35,-0.051465798045602695
2020-09-13,2020,valladolid,sociedad,2.8,3.2,2.6,0.3388,0.2964,0.3648,1,0,2.6,0.0,-1.0,0.3500000000000001,-0.051465798045602695
2020-09-13,2020,villarreal,huesca,1.57,4.0,6.0,0.6045,0.2373,0.1582,1,2,1.57,0.0,-1.0,-0.6499999999999999,-0.050881612090679984
2020-09-13,2020,valencia,levante,2.1,3.5,3.5,0.4545,0.2727,0.2727,2,2,2.1,2.1,1.1,0.4500000000000002,-0.0454545454545453
2020-09-19,2020,villarreal,eibar,1.57,4.0,6.0,0.6045,0.2373,0.1582,2,2,1.57,1.57,0.5700000000000001,1.0200000000000002,-0.050881612090679984
2020-09-19,2020,getafe,osasuna,1.95,3.25,4.33,0.4877,0.2926,0.2196,2,2,1.95,1.95,0.95,1.9700000000000002,-0.04894120297364268
2020-09-19,2020,celta,valencia,2.2,3.6,3.1,0.4309,0.2633,0.3058,2,2,2.2,2.2,1.2000000000000002,3.1700000000000004,-0.05204633204633191
2020-09-20,2020,huesca,cadiz,2.1,3.1,4.0,0.454,0.3076,0.2384,0,2,2.1,0.0,-1.0,2.1700000000000004,-0.04650311241303562
2020-09-20,2020,betis,valladolid,1.85,3.6,4.33,0.5152,0.2647,0.2201,2,2,1.85,1.85,0.8500000000000001,3.0200000000000005,-0.04695209610522666
2020-09-20,2020,granada,alaves,2.05,3.1,4.2,0.4652,0.3077,0.2271,2,2,2.05,2.05,1.0499999999999998,4.07,-0.04623905663748429
2020-09-20,2020,sociedad,real madrid,4.75,3.8,1.72,0.1995,0.2494,0.551,1,0,1.72,0.0,-1.0,3.0700000000000003,-0.05220417633410679
2020-09-26,2020,alaves,getafe,3.5,2.9,2.37,0.2715,0.3276,0.4009,1,0,2.37,0.0,-1.0,2.0700000000000003,-0.04986570819180025
2020-09-26,2020,valencia,huesca,2.0,3.4,4.0,0.4789,0.2817,0.2394,1,2,2.0,0.0,-1.0,1.0700000000000003,-0.04225352112676062
