Date,Season,jornada,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,p_H,p_D,p_A,true_result,bet365_pred,picked_odds,bet_return,net_profit,Cum_net_profit,edge_b365_pick
2014-08-23,2014,1,almeria,espanol,2.55,3.3,2.7,0.368,0.2844,0.3476,1,2,2.55,0.0,-1.0,-1.0,-0.061524163568773105
2014-08-23,2014,1,granada,la coruna,1.95,3.2,4.2,0.4822,0.2939,0.2239,2,2,1.95,1.95,0.95,-0.050000000000000044,-0.05963401506996757
2014-08-23,2014,1,malaga,ath bilbao,2.8,3.3,2.45,0.3343,0.2836,0.3821,2,0,2.45,0.0,-1.0,-1.05,-0.06396526772793065
2014-08-23,2014,1,sevilla,valencia,2.05,3.5,3.5,0.4605,0.2697,0.2697,1,2,2.05,0.0,-1.0,-2.05,-0.05592105263157909
2014-08-24,2014,1,barcelona,elche,1.1,9.0,21.0,0.8514,0.1041,0.0446,2,2,1.1,1.1,0.10000000000000009,-1.9499999999999997,-0.06351351351351353
2014-08-24,2014,1,celta,getafe,1.91,3.4,4.0,0.4904,0.2755,0.2342,2,2,1.91,1.91,0.9099999999999999,-1.0399999999999998,-0.06338789932934308
2014-08-24,2014,1,eibar,sociedad,3.25,3.4,2.2,0.2913,0.2784,0.4303,2,0,2.2,0.0,-1.0,-2.04,-0.053348909657320975
2014-08-24,2014,1,levante,villarreal,3.4,3.4,2.1,0.2763,0.2763,0.4474,0,0,2.1,2.1,1.1,-0.94,-0.06052631578947365
2014-08-25,2014,1,real madrid,cordoba,1.06,11.0,29.0,0.8827,0.0851,0.0323,2,2,1.06,1.06,0.06000000000000005,-0.8799999999999999,-0.06436081903707802
2014-08-25,2014,1,vallecano,ath madrid,7.0,4.0,1.5,0.1348,0.236,0.6292,1,0,1.5,0.0,-1.0,-1.88,-0.0561797752808989
2014-08-29,2014,2,getafe,almeria,2.0,3.4,3.75,0.4713,0.2773,0.2514,2,2,2.0,2.0,1.0,-0.8799999999999999,-0.0573012939001849
