match_num,date,jornada,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2021-08-13,1,-1.0,1.55,-1.0,1.55,valencia,getafe,Home,Draw,Home
2,2021-08-14,1,1.25,0.55,2.25,-1.0,cadiz,levante,Draw,Draw,Away
3,2021-08-14,1,0.25,-0.45,-1.0,-1.0,mallorca,betis,Draw,Away,Away
4,2021-08-14,1,0.69,-0.01,0.44,0.44,alaves,real madrid,Away,Away,Away
5,2021-08-14,1,2.89,-1.01,2.2,-1.0,osasuna,espanol,Draw,Draw,Home
6,2021-08-15,1,3.79,-0.11,0.9,0.9,celta,ath madrid,Away,Away,Away
7,2021-08-15,1,4.51,0.61,0.72,0.72,barcelona,sociedad,Home,Home,Home
8,2021-08-15,1,4.95,1.05,0.44,0.44,sevilla,vallecano,Home,Home,Home
9,2021-08-16,1,8.15,0.05,3.2,-1.0,villarreal,granada,Draw,Draw,Home
10,2021-08-16,1,10.45,-0.95,2.3,-1.0,elche,ath bilbao,Draw,Draw,Away
11,2021-08-20,2,9.45,-1.95,-1.0,-1.0,betis,cadiz,Draw,Home,Home
12,2021-08-21,2,8.45,-2.95,-1.0,-1.0,alaves,mallorca,Away,Draw,Home
13,2021-08-21,2,7.45,-3.95,-1.0,-1.0,espanol,villarreal,Draw,Away,Away
14,2021-08-21,2,6.45,-4.95,-1.0,-1.0,granada,valencia,Draw,Home,Home
15,2021-08-21,2,5.45,-5.95,-1.0,-1.0,ath bilbao,barcelona,Draw,Away,Away
16,2021-08-22,2,4.45,-5.51,-1.0,0.44,sociedad,vallecano,Home,Draw,Home
17,2021-08-22,2,4.67,-5.29,0.22,0.22,ath madrid,elche,Home,Home,Home
18,2021-08-22,2,3.67,-6.29,-1.0,-1.0,levante,real madrid,Draw,Away,Away
19,2021-08-23,2,4.87,-5.09,1.2,1.2,getafe,sevilla,Away,Away,Away
20,2021-08-23,2,3.87,-6.09,-1.0,-1.0,osasuna,celta,Draw,Away,Home
21,2021-08-27,3,4.62,-5.34,0.75,0.75,valencia,alaves,Home,Home,Home
22,2021-08-27,3,3.62,-3.74,-1.0,1.6,mallorca,espanol,Home,Draw,Home
23,2021-08-28,3,2.62,-4.74,-1.0,-1.0,elche,sevilla,Draw,Away,Away
24,2021-08-28,3,1.62,-5.74,-1.0,-1.0,celta,ath bilbao,Away,Draw,Home
25,2021-08-28,3,2.42,-4.94,0.8,0.8,betis,real madrid,Away,Away,Away
26,2021-08-28,3,1.42,-4.41,-1.0,0.53,sociedad,levante,Home,Draw,Home
27,2021-08-29,3,1.82,-4.01,0.4,0.4,barcelona,getafe,Home,Home,Home
28,2021-08-29,3,0.82,-2.56,-1.0,1.45,cadiz,osasuna,Away,Draw,Away
29,2021-08-29,3,-0.18,-1.01,-1.0,1.55,vallecano,granada,Home,Draw,Home
30,2021-08-29,3,-1.18,-2.01,-1.0,-1.0,ath madrid,villarreal,Draw,Home,Home
31,2021-09-11,4,-2.18,-1.29,-1.0,0.72,ath bilbao,mallorca,Home,Draw,Home
32,2021-09-11,4,0.22,-2.29,2.4,-1.0,levante,vallecano,Draw,Draw,Home
33,2021-09-12,4,1.12,-1.39,0.9,0.9,espanol,ath madrid,Away,Away,Away
34,2021-09-12,4,0.12,-2.39,-1.0,-1.0,osasuna,valencia,Away,Draw,Home
35,2021-09-12,4,-0.88,-1.64,-1.0,0.75,cadiz,sociedad,Away,Draw,Away
36,2021-09-12,4,-0.52,-1.28,0.36,0.36,real madrid,celta,Home,Home,Home
37,2021-09-13,4,-1.52,-2.28,-1.0,-1.0,getafe,elche,Away,Draw,Home
38,2021-09-13,4,-2.52,-0.91,-1.0,1.37,granada,betis,Away,Draw,Away
39,2021-09-17,5,-3.52,-1.91,-1.0,-1.0,celta,cadiz,Away,Home,Home
40,2021-09-18,5,-4.52,-2.91,-1.0,-1.0,ath madrid,ath bilbao,Draw,Home,Home
41,2021-09-18,5,-2.42,-3.91,2.1,-1.0,elche,levante,Draw,Draw,Home
42,2021-09-18,5,-3.42,-2.36,-1.0,1.55,alaves,osasuna,Away,Draw,Away
43,2021-09-18,5,-4.42,-0.99,-1.0,1.37,vallecano,getafe,Home,Draw,Home
44,2021-09-19,5,-5.42,-1.99,-1.0,-1.0,mallorca,villarreal,Draw,Away,Away
45,2021-09-19,5,-3.22,-2.99,2.2,-1.0,sociedad,sevilla,Draw,Draw,Home
46,2021-09-19,5,-1.02,-3.99,2.2,-1.0,betis,espanol,Draw,Draw,Home
47,2021-09-19,5,-0.12,-3.09,0.9,0.9,valencia,real madrid,Away,Away,Away
48,2021-09-20,5,-1.12,-4.09,-1.0,-1.0,barcelona,granada,Draw,Home,Home
49,2021-09-21,6,-0.46,-3.43,0.66,0.66,getafe,ath madrid,Away,Away,Away
50,2021-09-21,6,-1.46,-4.43,-1.0,-1.0,ath bilbao,vallecano,Away,Draw,Home
51,2021-09-21,6,-2.46,-5.43,-1.0,-1.0,levante,celta,Away,Draw,Home
52,2021-09-22,6,-2.24,-5.21,0.22,0.22,real madrid,mallorca,Home,Home,Home
53,2021-09-22,6,-1.74,-4.71,0.5,0.5,villarreal,elche,Home,Home,Home
54,2021-09-22,6,-2.74,-3.91,-1.0,0.8,espanol,alaves,Home,Draw,Home
55,2021-09-22,6,-2.13,-3.3,0.61,0.61,sevilla,valencia,Home,Home,Home
56,2021-09-23,6,-1.23,-2.4,0.9,0.9,granada,sociedad,Away,Away,Away
57,2021-09-23,6,-2.23,-3.4,-1.0,-1.0,osasuna,betis,Away,Draw,Home
58,2021-09-23,6,-3.23,-4.4,-1.0,-1.0,cadiz,barcelona,Draw,Away,Away
59,2021-09-25,7,-4.23,-5.4,-1.0,-1.0,alaves,ath madrid,Home,Away,Away
60,2021-09-25,7,-2.03,-6.4,2.2,-1.0,valencia,ath bilbao,Draw,Draw,Home
