match_num,date,jornada,model_cum,bet365_cum,model_ret,bet365_ret,home,away,true_txt,model_txt,bet365_txt
1,2010-08-28,1,1.4,1.4,1.4,1.4,malaga,valencia,Away,Away,Away
2,2010-08-28,1,0.4,0.4,-1.0,-1.0,hercules,ath bilbao,Away,Home,Home
3,2010-08-28,1,1.4,1.4,1.0,1.0,levante,sevilla,Away,Away,Away
4,2010-08-29,1,0.4,2.5,-1.0,1.1,espanol,getafe,Home,Away,Home
5,2010-08-29,1,-0.6,1.5,-1.0,-1.0,la coruna,zaragoza,Draw,Home,Home
6,2010-08-29,1,-1.6,0.5,-1.0,-1.0,mallorca,real madrid,Draw,Away,Away
7,2010-08-29,1,-2.6,-0.5,-1.0,-1.0,osasuna,almeria,Draw,Home,Home
8,2010-08-29,1,-2.4,-0.3,0.2,0.2,santander,barcelona,Away,Away,Away
9,2010-08-29,1,-3.4,-1.3,-1.0,-1.0,sociedad,villarreal,Home,Draw,Away
10,2010-08-30,1,-2.87,-0.77,0.53,0.53,ath madrid,sp gijon,Home,Home,Home
11,2010-09-11,2,-2.43,-0.33,0.44,0.44,valencia,santander,Home,Home,Home
12,2010-09-11,2,-2.26,-0.16,0.17,0.17,real madrid,osasuna,Home,Home,Home
13,2010-09-11,2,-3.26,1.22,-1.0,1.38,ath bilbao,ath madrid,Away,Draw,Away
14,2010-09-11,2,-4.26,0.22,-1.0,-1.0,barcelona,hercules,Away,Home,Home
15,2010-09-12,2,-5.26,1.62,-1.0,1.4,sp gijon,mallorca,Home,Away,Home
16,2010-09-12,2,-2.26,0.62,3.0,-1.0,zaragoza,malaga,Away,Away,Home
17,2010-09-12,2,-1.46,1.42,0.8,0.8,villarreal,espanol,Home,Home,Home
18,2010-09-12,2,-2.46,0.42,-1.0,-1.0,sevilla,la coruna,Draw,Home,Home
19,2010-09-12,2,-3.46,0.99,-1.0,0.57,getafe,levante,Home,Draw,Home
20,2010-09-13,2,-4.46,-0.01,-1.0,-1.0,almeria,sociedad,Draw,Home,Home
21,2010-09-18,3,-2.21,-1.01,2.25,-1.0,sp gijon,ath bilbao,Draw,Draw,Home
22,2010-09-18,3,-1.85,-0.65,0.36,0.36,sociedad,real madrid,Away,Away,Away
23,2010-09-18,3,-2.85,0.35,-1.0,1.0,espanol,almeria,Home,Away,Home
24,2010-09-18,3,-3.85,1.26,-1.0,0.91,mallorca,osasuna,Home,Draw,Home
25,2010-09-19,3,-3.18,1.93,0.67,0.67,ath madrid,barcelona,Away,Away,Away
26,2010-09-19,3,-2.03,3.08,1.15,1.15,hercules,valencia,Away,Away,Away
27,2010-09-19,3,-1.03,4.08,1.0,1.0,levante,villarreal,Away,Away,Away
28,2010-09-19,3,0.17,5.28,1.2,1.2,malaga,sevilla,Away,Away,Away
29,2010-09-19,3,-0.83,6.53,-1.0,1.25,santander,zaragoza,Home,Away,Home
30,2010-09-20,3,-1.83,5.53,-1.0,-1.0,la coruna,getafe,Draw,Away,Home
31,2010-09-21,4,-1.66,5.7,0.17,0.17,real madrid,espanol,Home,Home,Home
32,2010-09-21,4,-0.75,6.61,0.91,0.91,ath bilbao,mallorca,Home,Home,Home
33,2010-09-21,4,-1.75,7.71,-1.0,1.1,osasuna,sociedad,Home,Draw,Home
34,2010-09-22,4,-2.75,6.71,-1.0,-1.0,zaragoza,hercules,Draw,Away,Home
35,2010-09-22,4,-0.5,5.71,2.25,-1.0,valencia,ath madrid,Draw,Draw,Home
36,2010-09-22,4,-1.5,4.71,-1.0,-1.0,almeria,levante,Away,Draw,Home
37,2010-09-22,4,-1.36,4.85,0.14,0.14,barcelona,sp gijon,Home,Home,Home
38,2010-09-23,4,-2.36,3.85,-1.0,-1.0,getafe,malaga,Away,Home,Home
39,2010-09-23,4,-3.36,2.85,-1.0,-1.0,sevilla,santander,Draw,Home,Home
40,2010-09-23,4,-2.69,3.52,0.67,0.67,villarreal,la coruna,Home,Home,Home
41,2010-09-25,5,-3.69,2.52,-1.0,-1.0,levante,real madrid,Draw,Away,Away
42,2010-09-25,5,-3.12,3.09,0.57,0.57,ath bilbao,barcelona,Away,Away,Away
43,2010-09-25,5,-1.92,4.29,1.2,1.2,sp gijon,valencia,Away,Away,Away
44,2010-09-26,5,-2.92,3.29,-1.0,-1.0,la coruna,almeria,Away,Home,Home
45,2010-09-26,5,-1.87,4.34,1.05,1.05,mallorca,sociedad,Home,Home,Home
46,2010-09-26,5,-2.87,3.34,-1.0,-1.0,santander,getafe,Away,Draw,Home
47,2010-09-26,5,-2.34,3.87,0.53,0.53,ath madrid,zaragoza,Home,Home,Home
48,2010-09-26,5,-3.34,2.87,-1.0,-1.0,hercules,sevilla,Home,Away,Away
49,2010-09-26,5,-2.14,4.07,1.2,1.2,espanol,osasuna,Home,Home,Home
50,2010-09-27,5,-0.76,5.45,1.38,1.38,malaga,villarreal,Away,Away,Away
51,2010-10-02,6,-1.76,6.65,-1.0,1.2,sociedad,espanol,Home,Draw,Home
52,2010-10-02,6,-1.03,7.38,0.73,0.73,valencia,ath bilbao,Home,Home,Home
53,2010-10-02,6,1.27,6.38,2.3,-1.0,zaragoza,sp gijon,Draw,Draw,Home
54,2010-10-03,6,0.27,7.43,-1.0,1.05,getafe,hercules,Home,Draw,Home
55,2010-10-03,6,-0.73,6.43,-1.0,-1.0,barcelona,mallorca,Draw,Home,Home
56,2010-10-03,6,-0.56,6.6,0.17,0.17,real madrid,la coruna,Home,Home,Home
57,2010-10-03,6,0.17,7.33,0.73,0.73,villarreal,santander,Home,Home,Home
58,2010-10-03,6,-0.83,8.43,-1.0,1.1,sevilla,ath madrid,Home,Draw,Home
59,2010-10-03,6,-1.83,7.43,-1.0,-1.0,almeria,malaga,Draw,Away,Home
60,2010-10-03,6,0.67,6.43,2.5,-1.0,osasuna,levante,Draw,Draw,Home
61,2010-10-16,7,1.07,6.83,0.4,0.4,malaga,real madrid,Away,Away,Away
62,2010-10-16,7,1.87,7.63,0.8,0.8,ath madrid,getafe,Home,Home,Home
63,2010-10-16,7,2.27,8.03,0.4,0.4,barcelona,valencia,Home,Home,Home
64,2010-10-17,7,3.07,8.83,0.8,0.8,ath bilbao,zaragoza,Home,Home,Home
65,2010-10-17,7,2.07,7.83,-1.0,-1.0,la coruna,osasuna,Draw,Home,Home
66,2010-10-17,7,1.07,9.23,-1.0,1.4,levante,sociedad,Home,Draw,Home
67,2010-10-17,7,0.07,8.23,-1.0,-1.0,mallorca,espanol,Away,Home,Home
68,2010-10-17,7,-0.93,9.33,-1.0,1.1,santander,almeria,Home,Away,Home
69,2010-10-17,7,-1.93,8.33,-1.0,-1.0,sp gijon,sevilla,Home,Away,Away
70,2010-10-18,7,-2.93,7.33,-1.0,-1.0,hercules,villarreal,Draw,Away,Away
71,2010-10-23,8,-2.68,7.58,0.25,0.25,zaragoza,barcelona,Away,Away,Away
72,2010-10-23,8,-2.54,7.72,0.14,0.14,real madrid,santander,Home,Home,Home
73,2010-10-23,8,-3.54,6.72,-1.0,-1.0,valencia,mallorca,Away,Home,Home
74,2010-10-24,8,-2.79,7.47,0.75,0.75,espanol,levante,Home,Home,Home
75,2010-10-24,8,-3.79,8.2,-1.0,0.73,getafe,sp gijon,Home,Draw,Home
76,2010-10-24,8,-4.79,7.2,-1.0,-1.0,almeria,hercules,Draw,Home,Home
77,2010-10-24,8,-3.49,8.5,1.3,1.3,villarreal,ath madrid,Home,Home,Home
78,2010-10-24,8,-4.49,9.6,-1.0,1.1,osasuna,malaga,Home,Draw,Home
79,2010-10-24,8,-3.79,10.3,0.7,0.7,sevilla,ath bilbao,Home,Home,Home
80,2010-10-25,8,-4.79,11.4,-1.0,1.1,sociedad,la coruna,Home,Draw,Home
81,2010-10-30,9,-4.49,11.7,0.3,0.3,hercules,real madrid,Away,Away,Away
82,2010-10-30,9,-4.2,11.99,0.29,0.29,barcelona,sevilla,Home,Home,Home
83,2010-10-30,9,-5.2,10.99,-1.0,-1.0,valencia,zaragoza,Draw,Home,Home
84,2010-10-31,9,-6.2,9.99,-1.0,-1.0,sp gijon,villarreal,Draw,Away,Away
85,2010-10-31,9,-7.2,11.49,-1.0,1.5,santander,osasuna,Home,Draw,Home
86,2010-10-31,9,-8.2,10.49,-1.0,-1.0,malaga,sociedad,Away,Home,Home
87,2010-10-31,9,-7.2,11.49,1.0,1.0,ath bilbao,getafe,Home,Home,Home
88,2010-10-31,9,-8.2,10.49,-1.0,-1.0,ath madrid,almeria,Draw,Away,Home
89,2010-10-31,9,-6.57,9.49,1.63,-1.0,la coruna,espanol,Home,Home,Away
90,2010-11-01,9,-5.95,10.11,0.62,0.62,mallorca,levante,Home,Home,Home
91,2010-11-06,10,-5.04,11.02,0.91,0.91,espanol,malaga,Home,Home,Home
92,2010-11-06,10,-6.04,12.12,-1.0,1.1,sociedad,santander,Home,Draw,Home
93,2010-11-07,10,-5.24,12.92,0.8,0.8,villarreal,ath bilbao,Home,Home,Home
94,2010-11-07,10,-6.24,14.32,-1.0,1.4,zaragoza,mallorca,Home,Away,Home
95,2010-11-07,10,-5.95,14.61,0.29,0.29,real madrid,ath madrid,Home,Home,Home
96,2010-11-07,10,-3.75,13.61,2.2,-1.0,levante,la coruna,Away,Away,Home
97,2010-11-07,10,-4.75,14.61,-1.0,1.0,osasuna,hercules,Home,Draw,Home
98,2010-11-07,10,-4.42,14.94,0.33,0.33,getafe,barcelona,Away,Away,Away
99,2010-11-07,10,-2.12,13.94,2.3,-1.0,almeria,sp gijon,Draw,Draw,Home
100,2010-11-08,10,-0.92,15.14,1.2,1.2,sevilla,valencia,Home,Home,Home
101,2010-11-13,11,-0.72,15.34,0.2,0.2,barcelona,villarreal,Home,Home,Home
102,2010-11-13,11,-0.05,16.01,0.67,0.67,ath bilbao,almeria,Home,Home,Home
103,2010-11-13,11,0.57,16.63,0.62,0.62,ath madrid,osasuna,Home,Home,Home
104,2010-11-14,11,3.07,15.63,2.5,-1.0,mallorca,la coruna,Draw,Draw,Home
105,2010-11-14,11,3.69,16.25,0.62,0.62,valencia,getafe,Home,Home,Home
106,2010-11-14,11,2.69,15.25,-1.0,-1.0,santander,espanol,Draw,Home,Home
107,2010-11-14,11,3.64,16.2,0.95,0.95,malaga,levante,Home,Home,Home
108,2010-11-14,11,3.89,16.45,0.25,0.25,sp gijon,real madrid,Away,Away,Away
109,2010-11-14,11,4.99,17.55,1.1,1.1,hercules,sociedad,Home,Home,Home
110,2010-11-14,11,6.37,18.93,1.38,1.38,zaragoza,sevilla,Away,Away,Away
111,2010-11-20,12,6.62,19.18,0.25,0.25,almeria,barcelona,Away,Away,Away
112,2010-11-20,12,6.79,19.35,0.17,0.17,real madrid,ath bilbao,Home,Home,Home
113,2010-11-20,12,5.79,18.35,-1.0,-1.0,villarreal,valencia,Draw,Home,Home
114,2010-11-21,12,6.7,19.26,0.91,0.91,espanol,hercules,Home,Home,Home
115,2010-11-21,12,5.7,20.76,-1.0,1.5,sociedad,ath madrid,Away,Draw,Away
116,2010-11-21,12,6.95,22.01,1.25,1.25,la coruna,malaga,Home,Home,Home
117,2010-11-21,12,5.95,22.84,-1.0,0.83,osasuna,sp gijon,Home,Draw,Home
118,2010-11-21,12,4.95,24.22,-1.0,1.38,levante,santander,Home,Away,Home
119,2010-11-21,12,3.95,23.22,-1.0,-1.0,sevilla,mallorca,Away,Home,Home
120,2010-11-22,12,2.95,22.22,-1.0,-1.0,getafe,zaragoza,Draw,Home,Home
121,2010-11-27,13,4.15,23.42,1.2,1.2,zaragoza,villarreal,Away,Away,Away
122,2010-11-27,13,3.15,22.42,-1.0,-1.0,ath madrid,espanol,Away,Home,Home
123,2010-11-27,13,2.15,21.42,-1.0,-1.0,sevilla,getafe,Away,Home,Home
124,2010-11-28,13,2.88,22.15,0.73,0.73,ath bilbao,osasuna,Home,Home,Home
125,2010-11-28,13,3.21,22.48,0.33,0.33,valencia,almeria,Home,Home,Home
126,2010-11-28,13,4.04,23.31,0.83,0.83,hercules,levante,Home,Home,Home
127,2010-11-28,13,3.04,24.51,-1.0,1.2,santander,la coruna,Home,Draw,Home
128,2010-11-28,13,3.77,25.24,0.73,0.73,mallorca,malaga,Home,Home,Home
129,2010-11-28,13,2.77,24.24,-1.0,-1.0,sp gijon,sociedad,Away,Home,Home
130,2010-11-29,13,3.87,25.34,1.1,1.1,barcelona,real madrid,Home,Home,Home
131,2010-12-04,14,2.87,24.34,-1.0,-1.0,levante,ath madrid,Home,Away,Away
132,2010-12-04,14,3.07,24.54,0.2,0.2,osasuna,barcelona,Away,Away,Away
133,2010-12-04,14,3.47,24.94,0.4,0.4,real madrid,valencia,Home,Home,Home
134,2010-12-05,14,2.47,23.94,-1.0,-1.0,almeria,zaragoza,Draw,Away,Home
135,2010-12-05,14,3.47,24.94,1.0,1.0,getafe,mallorca,Home,Home,Home
136,2010-12-05,14,4.09,25.56,0.62,0.62,espanol,sp gijon,Home,Home,Home
137,2010-12-05,14,3.09,26.86,-1.0,1.3,sociedad,ath bilbao,Home,Draw,Home
138,2010-12-05,14,2.09,27.86,-1.0,1.0,malaga,santander,Home,Away,Home
139,2010-12-05,14,2.92,28.69,0.83,0.83,villarreal,sevilla,Home,Home,Home
140,2010-12-06,14,4.12,29.89,1.2,1.2,la coruna,hercules,Home,Home,Home
141,2010-12-11,15,3.12,28.89,-1.0,-1.0,sevilla,almeria,Away,Home,Home
142,2010-12-11,15,3.56,29.33,0.44,0.44,ath madrid,la coruna,Home,Home,Home
143,2010-12-11,15,2.56,30.83,-1.0,1.5,getafe,villarreal,Home,Away,Home
144,2010-12-12,15,5.06,29.83,2.5,-1.0,sp gijon,levante,Draw,Draw,Home
145,2010-12-12,15,5.31,30.08,0.25,0.25,zaragoza,real madrid,Away,Away,Away
146,2010-12-12,15,6.26,31.03,0.95,0.95,ath bilbao,espanol,Home,Home,Home
147,2010-12-12,15,6.36,31.13,0.1,0.1,barcelona,sociedad,Home,Home,Home
