Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2024-08-15,2024,ath bilbao,getafe,1.48,4.0,8.0,1,2,H,0.5577712873523714,1.48,-0.17449849471849044,D,0.28294327893866633,0.3207358197346666,4.0,True,0.0,-1.0,4.0,3.0,✗,✓,<0%,≥5%
2024-08-15,2024,betis,girona,2.35,3.4,3.0,1,0,A,0.37461107802975113,3.0,0.1238332340892534,A,0.1238332340892534,0.37461107802975113,3.0,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2024-08-16,2024,celta,alaves,2.0,3.2,4.1,2,2,H,0.4158333846900266,2.0,-0.16833323061994676,D,0.05142630448052321,0.3285707201501635,3.2,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-16,2024,las palmas,sevilla,2.8,3.25,2.63,1,0,A,0.417608404565192,2.63,0.0983101040064549,A,0.0983101040064549,0.417608404565192,2.63,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2024-08-17,2024,osasuna,leganes,1.85,3.3,4.5,1,2,H,0.4241205717823841,1.85,-0.2153769422025894,A,0.097491906541326,0.24388709034251688,4.5,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2024-08-17,2024,valencia,barcelona,4.75,3.8,1.73,0,0,A,0.6494350367758629,1.73,0.1235226136222427,A,0.1235226136222427,0.6494350367758629,1.73,True,1.73,0.73,1.73,0.73,✓,✓,≥5%,≥5%
2024-08-18,2024,sociedad,vallecano,1.57,3.75,7.0,0,2,H,0.5610111308202771,1.57,-0.11921252461216492,D,0.15370034027128643,0.30765342407234303,3.75,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2024-08-18,2024,mallorca,real madrid,8.0,4.2,1.45,1,0,A,0.7368395550046521,1.45,0.06841735475674549,A,0.06841735475674549,0.7368395550046521,1.45,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2024-08-19,2024,valladolid,espanol,2.38,3.0,3.4,2,2,H,0.3527225908805429,2.38,-0.1605202337043079,A,0.10785117297186297,0.32583858028584206,3.4,True,2.38,1.38,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-19,2024,villarreal,ath madrid,3.3,3.7,2.1,1,0,A,0.5731917930570785,2.1,0.20370276541986487,A,0.20370276541986487,0.5731917930570785,2.1,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2024-08-23,2024,celta,valencia,2.1,3.4,3.6,2,2,H,0.3786224742166726,2.1,-0.20489280414498745,D,0.11236636063531247,0.32716657665744486,3.4,True,2.1,1.1,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-23,2024,sevilla,villarreal,2.4,3.6,2.8,0,0,A,0.4084202041338251,2.8,0.14357657157471038,A,0.14357657157471038,0.4084202041338251,2.8,True,2.8,1.7999999999999998,2.8,1.7999999999999998,✓,✓,≥5%,≥5%
2024-08-24,2024,osasuna,mallorca,2.45,3.1,3.1,2,2,H,0.3544583009247013,2.45,-0.13157716273448172,D,0.04760996270646767,0.3379386976472476,3.1,True,2.45,1.4500000000000002,0.0,-1.0,✓,✗,<0%,2–5%
2024-08-24,2024,barcelona,ath bilbao,1.62,4.2,5.0,2,2,H,0.60822614855056,1.62,-0.014673639348092737,D,0.14776141671390364,0.27327652778902467,4.2,True,1.62,0.6200000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-24,2024,espanol,sociedad,3.9,3.2,2.05,0,0,A,0.5059929292386949,2.05,0.037285504939324365,A,0.037285504939324365,0.5059929292386949,2.05,True,2.05,1.0499999999999998,2.05,1.0499999999999998,✓,✓,2–5%,2–5%
2024-08-24,2024,getafe,vallecano,2.45,3.0,3.2,1,0,A,0.36380955911589863,3.2,0.1641905891708757,A,0.1641905891708757,0.36380955911589863,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2024-08-25,2024,real madrid,valladolid,1.18,7.5,15.0,2,2,H,0.8617244318093685,1.18,0.016834829535054885,H,0.016834829535054885,0.8617244318093685,1.18,True,1.18,0.17999999999999994,1.18,0.17999999999999994,✓,✓,0–2%,0–2%
2024-08-25,2024,leganes,las palmas,2.25,3.0,3.6,2,2,H,0.3915122567121672,2.25,-0.11909742239762378,D,0.03026878819744816,0.3434229293991494,3.0,True,2.25,1.25,0.0,-1.0,✓,✗,<0%,2–5%
2024-08-25,2024,alaves,betis,2.38,3.1,3.25,1,2,H,0.4406193110900944,2.38,0.04867396039442462,H,0.04867396039442462,0.4406193110900944,2.38,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%
2024-08-25,2024,ath madrid,girona,1.6,4.1,5.5,2,2,H,0.639553882614265,1.6,0.023286212182824118,H,0.023286212182824118,0.639553882614265,1.6,True,1.6,0.6000000000000001,1.6,0.6000000000000001,✓,✓,2–5%,2–5%
2024-08-26,2024,villarreal,celta,1.91,3.4,3.8,2,2,H,0.5038788708927298,1.91,-0.037591356594886216,A,-0.023240471330121082,0.25704198122891553,3.8,True,1.91,0.9099999999999999,0.0,-1.0,✓,✗,<0%,<0%
2024-08-27,2024,mallorca,sevilla,2.38,3.1,3.25,1,1,D,0.36948174228834824,3.1,0.14539340109387955,D,0.14539340109387955,0.36948174228834824,3.1,True,3.1,2.1,3.1,2.1,✓,✓,≥5%,≥5%
2024-08-27,2024,vallecano,barcelona,5.25,3.8,1.62,0,0,A,0.6626890251194063,1.62,0.07355622069343837,A,0.07355622069343837,0.6626890251194063,1.62,True,1.62,0.6200000000000001,1.62,0.6200000000000001,✓,✓,≥5%,≥5%
2024-08-28,2024,ath bilbao,valencia,1.62,3.9,5.75,2,2,H,0.5358575886160636,1.62,-0.1319107064419769,D,0.21436380419691048,0.31137533440946424,3.9,True,1.62,0.6200000000000001,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-28,2024,valladolid,leganes,2.3,3.0,3.6,1,2,H,0.34639667622693815,2.3,-0.20328764467804228,A,0.12742073361607908,0.3131724260044664,3.6,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2024-08-28,2024,ath madrid,espanol,1.3,5.25,11.0,1,2,H,0.7727967438292275,1.3,0.004635766977995726,H,0.004635766977995726,0.7727967438292275,1.3,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%
2024-08-28,2024,sociedad,alaves,1.7,3.5,5.75,0,2,H,0.5208102601377194,1.7,-0.11462255776587715,D,0.11511726584736004,0.3186049330992457,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2024-08-29,2024,girona,osasuna,1.7,4.0,4.33,2,2,H,0.5405670603792089,1.7,-0.08103599735534495,D,0.1433697051837861,0.28584242629594653,4.0,True,1.7,0.7,0.0,-1.0,✓,✗,<0%,≥5%
2024-08-29,2024,las palmas,real madrid,8.0,5.0,1.38,1,0,A,0.727632801877098,1.38,0.004133266590395257,A,0.004133266590395257,0.727632801877098,1.38,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,0–2%
2024-08-31,2024,barcelona,valladolid,1.25,6.25,10.0,2,2,H,0.8329059357045254,1.25,0.041132419630656836,H,0.041132419630656836,0.8329059357045254,1.25,True,1.25,0.25,1.25,0.25,✓,✓,2–5%,2–5%
2024-08-31,2024,ath bilbao,ath madrid,3.0,3.3,2.38,0,0,A,0.4490855233348079,2.38,0.06882354553684267,A,0.06882354553684267,0.4490855233348079,2.38,True,2.38,1.38,2.38,1.38,✓,✓,≥5%,≥5%
2024-08-31,2024,espanol,vallecano,2.8,3.0,2.8,2,2,H,0.3657573918652636,2.8,0.02412069722273813,H,0.02412069722273813,0.3657573918652636,2.8,True,2.8,1.7999999999999998,2.8,1.7999999999999998,✓,✓,2–5%,2–5%
2024-08-31,2024,leganes,mallorca,2.5,3.0,3.2,0,0,A,0.34717040134727106,3.2,0.11094528431126749,A,0.11094528431126749,0.34717040134727106,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2024-08-31,2024,valencia,villarreal,2.8,3.4,2.45,1,0,A,0.3738193173128475,2.45,-0.08414267258352348,D,0.13907661207747601,0.33502253296396356,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,<0%,≥5%
2024-09-01,2024,alaves,las palmas,1.95,3.4,4.0,2,2,H,0.473707234028205,1.95,-0.07627089364500017,D,0.08544632886798476,0.3192489202552896,3.4,True,1.95,0.95,0.0,-1.0,✓,✗,<0%,≥5%
