Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2014-08-23,2014,almeria,espanol,2.55,3.3,2.7,1,0,A,0.44700263897543246,2.7,0.20690712523366783,A,0.20690712523366783,0.44700263897543246,2.7,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-23,2014,granada,la coruna,1.95,3.2,4.2,2,2,H,0.4775829839849424,1.95,-0.06871318122936232,A,0.4382804858908984,0.34244773473592816,4.2,True,1.95,0.95,0.0,-1.0,✓,✗,<0%,≥5%
2014-08-23,2014,malaga,ath bilbao,2.8,3.3,2.45,2,0,A,0.49417327619986795,2.45,0.21072452668967667,A,0.21072452668967667,0.49417327619986795,2.45,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-23,2014,sevilla,valencia,2.05,3.5,3.5,1,2,H,0.4885251682141049,2.05,0.0014765948389150463,A,0.3682020653904423,0.39091487582584067,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,≥5%
2014-08-24,2014,barcelona,elche,1.1,9.0,21.0,2,2,H,0.9357819466147462,1.1,0.029360141276220997,H,0.029360141276220997,0.9357819466147462,1.1,True,1.1,0.10000000000000009,1.1,0.10000000000000009,✓,✓,2–5%,2–5%
2014-08-24,2014,celta,getafe,1.91,3.4,4.0,2,2,H,0.514655537505931,1.91,-0.017007923363671962,H,-0.017007923363671962,0.514655537505931,1.91,True,1.91,0.9099999999999999,1.91,0.9099999999999999,✓,✓,<0%,<0%
2014-08-24,2014,eibar,sociedad,3.25,3.4,2.2,2,0,A,0.5185491803813248,2.2,0.14080819683891477,A,0.14080819683891477,0.5185491803813248,2.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2014-08-24,2014,levante,villarreal,3.4,3.4,2.1,0,0,A,0.4337944675879728,2.1,-0.08903161806525706,D,-0.0005246052488957487,0.2939633513973836,3.4,True,2.1,1.1,0.0,-1.0,✓,✗,<0%,<0%
2014-08-25,2014,real madrid,cordoba,1.06,11.0,29.0,2,2,H,0.9742950366391158,1.06,0.03275273883746266,H,0.03275273883746266,0.9742950366391158,1.06,True,1.06,0.06000000000000005,1.06,0.06000000000000005,✓,✓,2–5%,2–5%
2014-08-25,2014,vallecano,ath madrid,7.0,4.0,1.5,1,0,A,0.6162789471380957,1.5,-0.07558157929285647,H,0.29484889778177314,0.18497841396882472,7.0,True,0.0,-1.0,0.0,-1.0,✗,✗,<0%,≥5%
2014-08-29,2014,getafe,almeria,2.0,3.4,3.75,2,2,H,0.45615028433310983,2.0,-0.08769943133378033,D,0.062289950624488055,0.31243822077190825,3.4,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
