Date,Season,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A,true_result,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return,net_profit,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin
2012-08-18,2012,celta,malaga,2.25,3.25,3.2,0,0,A,0.4064074032722799,3.2,0.3005036904712959,A,0.3005036904712959,0.4064074032722799,3.2,True,3.2,2.2,3.2,2.2,✓,✓,≥5%,≥5%
2012-08-18,2012,mallorca,espanol,2.0,3.3,3.8,2,2,H,0.5428729915269088,2.0,0.08574598305381764,H,0.08574598305381764,0.5428729915269088,2.0,True,2.0,1.0,2.0,1.0,✓,✓,≥5%,≥5%
2012-08-18,2012,sevilla,getafe,1.62,3.75,5.5,2,2,H,0.6383141595836315,1.62,0.034068938525483095,D,0.038080041360471606,0.27682134436279243,3.75,True,1.62,0.6200000000000001,0.0,-1.0,✓,✗,2–5%,2–5%
2012-08-19,2012,ath bilbao,betis,1.83,3.5,4.2,0,1,D,0.5253131348729759,3.5,0.8385959720554157,D,0.8385959720554157,0.5253131348729759,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2012-08-19,2012,barcelona,sociedad,1.1,9.0,26.0,2,2,H,0.9788700747471779,1.1,0.0767570822218957,H,0.0767570822218957,0.9788700747471779,1.1,True,1.1,0.10000000000000009,1.1,0.10000000000000009,✓,✓,≥5%,≥5%
2012-08-19,2012,levante,ath madrid,3.2,3.4,2.2,1,0,A,0.46015584507541035,2.2,0.012342859165902942,H,0.2981646623120038,0.40567645697250115,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,0–2%,≥5%
2012-08-19,2012,real madrid,valencia,1.25,6.0,10.0,1,2,H,0.8457576502474167,1.25,0.05719706280927084,H,0.05719706280927084,0.8457576502474167,1.25,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%
2012-08-20,2012,zaragoza,valladolid,2.15,3.3,3.4,0,2,H,0.4992371575719758,2.15,0.07335988877974797,A,0.1667932124023508,0.3431744742359855,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,≥5%,≥5%
2012-08-20,2012,la coruna,osasuna,2.0,3.4,3.75,2,2,H,0.43277210183563997,2.0,-0.13445579632872007,D,0.26902264955021926,0.37324195575006447,3.4,True,2.0,1.0,0.0,-1.0,✓,✗,<0%,≥5%
2012-08-20,2012,vallecano,granada,2.2,3.3,3.3,2,2,H,0.5066232492333724,2.2,0.11457114831341952,H,0.11457114831341952,0.5066232492333724,2.2,True,2.2,1.2000000000000002,2.2,1.2000000000000002,✓,✓,≥5%,≥5%
