Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,pred_key_match,y_true,y_pred,proba_H,proba_D,proba_A,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,pH_mkt,pD_mkt,pA_mkt,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2020,1,2020-09-12,cadiz,osasuna,2020|2020-09-12|cadiz|osasuna,2020|2020-09-12|cadiz|osasuna,A,H,0.4953380826125111,0.18118055649924933,0.3234813608882395,0.4953380826125111,1.0225715481144153,0.17185672172427163,2.8,3.0,2.75,1.054112554112554,0.33880903490759756,0.3162217659137577,0.3449691991786448,2.8,0.4953380826125111,0.38694663131503104,0.21497035073057283,1,0,-1.0,-1.0
2020,1,2020-09-12,eibar,celta,2020|2020-09-12|eibar|celta,2020|2020-09-12|eibar|celta,D,D,0.2592936432094995,0.42715457952203034,0.31355177726847006,0.42715457952203034,1.076989154366148,0.11360280225356029,2.5,3.25,2.9,1.0525198938992042,0.3800403225806452,0.2923387096774194,0.3276209677419355,3.25,0.42715457952203034,0.3882523834465986,0.17255661486515494,1,1,2.25,1.25
2020,1,2020-09-12,granada,ath bilbao,2020|2020-09-12|granada|ath bilbao,2020|2020-09-12|granada|athbilbao,H,D,0.22487747648566958,0.4537947998881485,0.32132772362618195,0.4537947998881485,1.0589113093384164,0.13246707626196658,2.75,3.1,2.75,1.0498533724340176,0.3463687150837989,0.30726256983240224,0.3463687150837989,3.1,0.4537947998881485,0.40676387965326044,0.19369708554917164,1,0,-1.0,0.25
2020,1,2020-09-13,alaves,betis,2020|2020-09-13|alaves|betis,2020|2020-09-13|alaves|betis,A,A,0.3287859607178675,0.3311002230883188,0.3401138161938137,0.3401138161938137,1.0985051322975252,0.009013593105494877,2.8,3.2,2.6,1.0542582417582418,0.33876221498371334,0.29641693811074915,0.3648208469055374,2.6,0.3401138161938137,-0.11570407789608428,0.0,1,1,1.6,1.85
2020,1,2020-09-13,valencia,levante,2020|2020-09-13|valencia|levante,2020|2020-09-13|valencia|levante,H,H,0.5463826868678867,0.1971332867506231,0.2564840263814902,0.5463826868678867,0.9993679986786078,0.2898986604863965,2.1,3.5,3.5,1.0476190476190474,0.4545454545454546,0.27272727272727276,0.27272727272727276,2.1,0.5463826868678867,0.1474036424225621,0.13400331129323825,1,1,1.1,2.95
2020,1,2020-09-13,valladolid,sociedad,2020|2020-09-13|valladolid|sociedad,2020|2020-09-13|valladolid|sociedad,D,A,0.32044687019977347,0.3248885970770929,0.35466453272313353,0.35466453272313353,1.09758361892146,0.02977593564604064,2.8,3.2,2.6,1.0542582417582418,0.33876221498371334,0.29641693811074915,0.3648208469055374,2.6,0.35466453272313353,-0.07787221491985286,0.0,1,0,-1.0,1.9500000000000002
2020,1,2020-09-13,villarreal,huesca,2020|2020-09-13|villarreal|huesca,2020|2020-09-13|villarreal|huesca,D,H,0.5295163973063187,0.33856620938997134,0.13191739330370997,0.5295163973063187,0.9705502476071375,0.19095018791634738,1.57,4.0,6.0,1.0536093418259023,0.6045340050377834,0.23727959697732998,0.15818639798488665,1.57,0.5295163973063187,-0.16865925622907957,0.0,1,0,-1.0,0.9500000000000002
2020,1,2021-01-12,ath madrid,sevilla,2020|2021-01-12|ath madrid|sevilla,2020|2021-01-12|athmadrid|sevilla,H,H,0.4787711162609149,0.3078276701841026,0.21340121355498243,0.4787711162609149,1.0449332936863478,0.17094344607681228,1.9,3.2,4.5,1.0610380116959064,0.496038580778505,0.29452290733723735,0.20943851188425766,1.9,0.4787711162609149,-0.09033487910426169,0.0,1,1,0.8999999999999999,1.85
2020,1,2021-02-09,real madrid,getafe,2020|2021-02-09|real madrid|getafe,2020|2021-02-09|realmadrid|getafe,H,H,0.6443906063449886,0.23946690041481392,0.11614249324019753,0.6443906063449886,0.8755047448797546,0.4049237059301747,1.53,4.0,6.5,1.057440925087984,0.6180910495661476,0.23641982645905146,0.1454891239748009,1.53,0.6443906063449886,-0.014082372292167467,0.0,1,1,0.53,2.38
2020,1,2021-02-24,barcelona,elche,2020|2021-02-24|barcelona|elche,2020|2021-02-24|barcelona|elche,H,H,0.8772225875641132,0.0803607430179013,0.042416669417985546,0.8772225875641132,0.45156496721110906,0.7968618445462119,1.12,9.0,19.0,1.0565998329156223,0.8450286617908678,0.10515912235619687,0.04981221585293536,1.12,0.8772225875641132,-0.017510701928193123,0.0,1,1,0.1200000000000001,2.5
2020,2,2020-09-19,celta,valencia,2020|2020-09-19|celta|valencia,2020|2020-09-19|celta|valencia,H,H,0.5168271295543493,0.23324760846911796,0.2499252619765327,0.5168271295543493,1.0272027938628696,0.2669018675778166,2.2,3.6,3.1,1.0549038774845225,0.4308880308880309,0.2633204633204634,0.3057915057915058,2.2,0.5168271295543493,0.13701968501956852,0.11418307084964041,1,1,1.2000000000000002,3.7
2020,2,2020-09-19,getafe,osasuna,2020|2020-09-19|getafe|osasuna,2020|2020-09-19|getafe|osasuna,H,H,0.5835082850024577,0.22607700772904346,0.19041470726849893,0.5835082850024577,0.9662957227606682,0.35743127727341417,1.95,3.25,4.33,1.0514597027299106,0.4877224600135166,0.29263347600810996,0.2196440639783735,1.95,0.5835082850024577,0.1378411557547924,0.14509595342609727,1,1,0.95,4.65
