model,test_season,train_until,n_bets,roi,profit_total,hit_rate,avg_odds,avg_edge,avg_value_ev,max_drawdown_pct,stake,min_edge,wk_min,wk_max
base,2007,2007,380,-0.039657894736842114,-15.070000000000004,0.4263157894736842,2.5629736842105264,0.5440124176017823,0.6600879427042463,1.8163596966413866,1.0,0.0,0,0
base,2008,2008,380,-0.006657894736842095,-2.5299999999999963,0.48157894736842105,2.434315789473684,0.3517368694537668,0.5109767946198976,1.8748957464553793,1.0,0.0,0,0
base,2009,2009,380,-0.02076315789473683,-7.889999999999996,0.531578947368421,2.083710526315789,0.15406777383575823,0.32951332603575745,2.87116564417178,1.0,0.0,0,0
base,2010,2010,380,0.0786842105263158,29.900000000000006,0.5815789473684211,2.013921052631579,0.14203082649727775,0.25221846471629034,0.2585805700988946,1.0,0.0,0,0
base,2011,2011,380,0.024815789473684225,9.430000000000005,0.5552631578947368,1.9889473684210526,0.12386886716410224,0.27253132532401864,1.8109965635738825,1.0,0.0,0,0
base,2012,2012,380,-0.05592105263157894,-21.249999999999996,0.5368421052631579,1.9474999999999998,0.06818349752795703,0.22843678869854875,4.595797280593324,1.0,0.0,0,0
base,2013,2013,380,-0.09436842105263157,-35.86,0.5210526315789473,1.9505789473684212,0.08162549987500271,0.2059645581523276,69.03773584905659,1.0,0.0,0,0
base,2014,2014,380,-0.05202631578947369,-19.770000000000003,0.5578947368421052,1.9002894736842106,0.056096462204603625,0.23152723790976518,21.875,1.0,0.0,0,0
base,2015,2015,380,-0.057263157894736835,-21.759999999999998,0.5263157894736842,2.0329473684210524,0.04940682526782775,0.18648446066827476,13.015625000000005,1.0,0.0,0,0
base,2016,2016,380,0.00486842105263158,1.8500000000000005,0.5631578947368421,1.9998947368421054,0.07060621000426763,0.19289083177511526,1.073770491803279,1.0,0.0,0,0
base,2017,2017,380,-0.006368421052631572,-2.4199999999999973,0.5447368421052632,1.970078947368421,0.011249281812563879,0.15254327669080317,2.500713266761768,1.0,0.0,0,0
base,2018,2018,380,-0.08399999999999999,-31.919999999999995,0.48947368421052634,2.0123947368421056,0.04516150575268137,0.18242844535408184,0.0,1.0,0.0,0,0
base,2019,2019,380,-0.13776315789473684,-52.349999999999994,0.46842105263157896,2.0677631578947366,-0.0031635968061413324,0.14514692053393533,281.2631578947366,1.0,0.0,0,0
base,2020,2020,380,0.04178947368421052,15.879999999999999,0.5342105263157895,2.0705263157894738,0.01705601484257034,0.14859941445051153,0.7571996027805362,1.0,0.0,0,0
base,2021,2021,380,-0.0549736842105263,-20.889999999999993,0.5026315789473684,2.0451315789473683,0.0030586111828925433,0.11678637064908898,6.45858585858586,1.0,0.0,0,0
base,2022,2022,380,0.03626315789473684,13.78,0.5447368421052632,2.0072105263157893,0.006983640613743291,0.07767696383188102,1.7510841283607979,1.0,0.0,0,0
base,2023,2023,380,0.009499999999999991,3.6099999999999968,0.5421052631578948,1.9925526315789475,0.004854767558411816,0.07863470948070085,1.262046561992421,1.0,0.0,0,0
base,2024,2024,380,0.09757894736842104,37.08,0.5789473684210527,1.9714736842105258,-0.0008145359126061747,0.08236815814718715,0.47385019710906745,1.0,0.0,0,0
base,2025,2025,70,-0.19914285714285715,-13.940000000000001,0.4714285714285714,2.0241428571428575,-0.018311514683507134,0.11309882691427013,12.803149606299217,1.0,0.0,0,0
