test_season,train_until,acc_test,logloss_test,brier_test,n_test,wk_min,wk_max
2007,2006,0.3973684210526316,1.3494414120417455,0.7661194141297705,380,0,0
2008,2007,0.3973684210526316,1.1495529048749027,0.6940270060264039,380,0,0
2009,2008,0.5052631578947369,1.0103624493077452,0.602082755976131,380,0,0
2010,2009,0.4842105263157895,1.0090447282249873,0.5971040145487276,380,0,0
2011,2010,0.5184210526315789,0.9783782347468015,0.5781124855784574,380,0,0
2012,2011,0.46842105263157896,1.0464407705340646,0.6219848123946629,380,0,0
2013,2012,0.5105263157894737,0.997122848647733,0.5859234635771665,380,0,0
2014,2013,0.5105263157894737,0.9704220025131152,0.575921200422478,380,0,0
2015,2014,0.45526315789473687,1.0194082677918832,0.609072054083051,380,0,0
2016,2015,0.4868421052631579,0.9914886966591455,0.5921446674474815,380,0,0
2017,2016,0.46578947368421053,1.0429158819689923,0.6242820468852509,380,0,0
2018,2017,0.4,1.1046583767479627,0.6662653937337162,380,0,0
2019,2018,0.40789473684210525,1.0845882086972118,0.6517951035378253,380,0,0
2020,2019,0.4789473684210526,1.0321666629094723,0.617694077437402,380,0,0
2021,2020,0.4631578947368421,1.039191504416154,0.6260655399038727,380,0,0
2022,2021,0.46842105263157896,1.0435399236306386,0.6209486504875659,380,0,0
2023,2022,0.5157894736842106,0.9792553905618867,0.5901580888676006,380,0,0
2024,2023,0.5236842105263158,0.9906024146619237,0.5895007033026377,380,0,0
2025,2024,0.43333333333333335,1.0173246489644299,0.6160581127766295,60,0,0
