Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,pred_key_match,y_true,y_pred,proba_H,proba_D,proba_A,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,pH_mkt,pD_mkt,pA_mkt,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2017,1,2017-08-18,leganes,alaves,2017|2017-08-18|leganes|alaves,2017|2017-08-18|leganes|alaves,H,H,0.3992886999062653,0.33042419982594373,0.270287100267791,0.3992886999062653,1.0860883440674511,0.06886450008032158,2.05,3.2,4.1,1.0442073170731707,0.4671532846715329,0.29927007299270075,0.23357664233576644,2.05,0.3992886999062653,-0.18145816519215624,0.0,1,1,1.0499999999999998,1.0499999999999998
2017,1,2017-08-18,valencia,las palmas,2017|2017-08-18|valencia|las palmas,2017|2017-08-18|valencia|laspalmas,H,H,0.46201604649716904,0.3617723275904423,0.17621162591238868,0.46201604649716904,1.030492414541846,0.10024371890672673,1.75,3.8,4.5,1.0568086883876355,0.540711462450593,0.24901185770750991,0.21027667984189727,1.75,0.46201604649716904,-0.19147191862995422,0.0,1,1,0.75,1.7999999999999998
2017,1,2017-08-19,celta,sociedad,2017|2017-08-19|celta|sociedad,2017|2017-08-19|celta|sociedad,A,H,0.3886543666926328,0.29634963361282085,0.31499599969454634,0.3886543666926328,1.0916104573373426,0.07365836699808648,2.38,3.25,3.2,1.0403603749191985,0.4038678109587977,0.29575550464059647,0.3003766844006058,2.38,0.3886543666926328,-0.07500260727153396,0.0,1,0,-1.0,0.7999999999999998
2017,1,2017-08-19,girona,ath madrid,2017|2017-08-19|girona|ath madrid,2017|2017-08-19|girona|athmadrid,D,A,0.12377537667568442,0.18444196234903162,0.6917826609752838,0.6917826609752838,0.8252971857327445,0.5073406986262522,8.0,4.33,1.45,1.045602054630883,0.1195483496291783,0.22087454896845873,0.659577101402363,1.45,0.6917826609752838,0.003084858414161562,0.006855240920359027,1,0,-1.0,-0.20000000000000018
2017,1,2017-08-19,sevilla,espanol,2017|2017-08-19|sevilla|espanol,2017|2017-08-19|sevilla|espanol,D,H,0.6414119793543064,0.20671971597016317,0.15186830467553034,0.6414119793543064,0.8969440512334907,0.43469226338414324,1.62,4.0,5.5,1.0491021324354657,0.5883926183471516,0.23829901043059643,0.17330837122225196,1.62,0.6414119793543064,0.03908740655397641,0.06304420411931679,1,0,-1.0,-1.2000000000000002
2017,1,2017-08-20,ath bilbao,getafe,2017|2017-08-20|ath bilbao|getafe,2017|2017-08-20|athbilbao|getafe,D,H,0.6974798447336766,0.18959041413603409,0.11292974113028938,0.6974798447336766,0.8128556289935164,0.5078894305976426,1.5,4.0,7.5,1.05,0.6349206349206349,0.23809523809523808,0.12698412698412698,1.5,0.6974798447336766,0.04621976710051495,0.0924395342010299,1,0,-1.0,-2.2
2017,1,2017-08-20,barcelona,betis,2017|2017-08-20|barcelona|betis,2017|2017-08-20|barcelona|betis,H,H,0.8620952573250954,0.10076624590178601,0.03713849677311853,0.8620952573250954,0.48148040012353444,0.7613290114233093,1.17,8.0,15.0,1.0463675213675214,0.8168266285480907,0.11946089442515825,0.06371247702675106,1.17,0.8620952573250954,0.008651451070361554,0.05089088864918564,1,1,0.16999999999999993,-2.0300000000000002
2017,1,2017-08-20,la coruna,real madrid,2017|2017-08-20|la coruna|real madrid,2017|2017-08-20|lacoruna|realmadrid,A,A,0.12935155745565033,0.14034678254683372,0.730301659997516,0.730301659997516,0.7696750232385713,0.5899548774506822,9.5,5.75,1.3,1.0484069706037669,0.10040295500335795,0.1658831430490262,0.7337139019476159,1.3,0.730301659997516,-0.050607842003229236,0.0,1,1,0.30000000000000004,-1.7300000000000002
2017,1,2017-08-21,levante,villarreal,2017|2017-08-21|levante|villarreal,2017|2017-08-21|levante|villarreal,H,A,0.2554148279723643,0.28695027397540235,0.45763489805223345,0.45763489805223345,1.0645747899198756,0.1706846240768311,3.25,3.25,2.3,1.0501672240802677,0.2929936305732484,0.2929936305732484,0.41401273885350315,2.3,0.45763489805223345,0.05256026552013682,0.04043097347702833,1,0,-1.0,-2.7300000000000004
2017,1,2017-08-21,malaga,eibar,2017|2017-08-21|malaga|eibar,2017|2017-08-21|malaga|eibar,A,H,0.3899511651749923,0.3436152026194607,0.2664336322055469,0.3899511651749923,1.0866843663594745,0.046335962555531574,2.1,3.3,3.7,1.0494910494910494,0.4537346711259755,0.28874024526198444,0.25752508361204013,2.1,0.3899511651749923,-0.18110255313251616,0.0,1,0,-1.0,-3.7300000000000004
