Date,Season_model,HomeTeam_norm,AwayTeam_norm,B365H_model,B365D_model,B365A_model,true_result_model,predicted_result,Pred,predicted_prob,predicted_odds,edge,value_pick,value_ev,value_prob,value_odds,use_value,bet_return_model,net_profit_model,value_bet_return,value_net_profit,Correct,value_correct,edge_bin,value_bin,Season_b365,B365H_b365,B365D_b365,B365A_b365,p_H,p_D,p_A,true_result_b365,bet365_pred,picked_odds,bet_return_b365,net_profit_b365,Cum_net_profit,edge_b365_pick,net_profit,delta_profit
2025-08-23,2025,mallorca,celta,3.0,3.1,2.55,1,0,A,0.4086825166294596,2.55,0.0421404174051218,D,0.0589494001230863,0.3415965806848665,3.1,True,0.0,-1.0,3.1,2.1,✗,✓,2–5%,≥5%,2025,3.0,3.1,2.55,0.318,0.3078,0.3742,1,0,2.55,0.0,-1.0,-2.1000000000000005,-0.0458660229330114,-1.0,0.0
2025-08-23,2025,ath madrid,elche,1.25,5.25,15.0,1,2,H,0.8349459777642666,1.25,0.0436824722053332,H,0.0436824722053332,0.8349459777642666,1.25,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%,2025,1.25,5.25,15.0,0.7568,0.1802,0.0631,1,2,1.25,0.0,-1.0,-3.1000000000000005,-0.0540540540540539,-1.0,0.0
2025-08-24,2025,sociedad,espanol,1.8,3.4,5.0,1,2,H,0.5047440307556081,1.8,-0.0914607446399052,D,0.2500004062529481,0.3676471783096906,3.4,True,0.0,-1.0,3.4,2.4,✗,✓,<0%,≥5%,2025,1.8,3.4,5.0,0.5293,0.2802,0.1905,1,2,1.8,0.0,-1.0,-4.1000000000000005,-0.0473225404732253,-1.0,0.0
2025-08-24,2025,osasuna,valencia,2.4,3.2,3.1,2,1,D,0.3921738547926258,3.2,0.2549563353364028,D,0.2549563353364028,0.3921738547926258,3.2,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,2.4,3.2,3.1,0.3962,0.2971,0.3067,2,2,2.4,2.4,1.4,-2.7000000000000006,-0.0492012779552715,-1.0,-2.4
2025-08-24,2025,oviedo,real madrid,9.5,5.5,1.3,0,0,A,0.8302704874684295,1.3,0.0793516337089583,A,0.0793516337089583,0.8302704874684295,1.3,True,1.3,0.3,1.3,0.3,✓,✓,≥5%,≥5%,2025,9.5,5.5,1.3,0.0997,0.1721,0.7282,0,0,1.3,1.3,0.3,-2.4000000000000004,-0.0533101045296167,0.3,0.0
2025-08-24,2025,villarreal,girona,1.53,4.33,6.0,2,2,H,0.6482767013662905,1.53,-0.0081366469095756,D,0.0368923353489536,0.2394670520436382,4.33,True,1.53,0.53,0.0,-1.0,✓,✗,<0%,2–5%,2025,1.53,4.33,6.0,0.6218,0.2197,0.1585,2,2,1.53,1.53,0.53,-1.8700000000000003,-0.0487137698067963,0.53,0.0
2025-08-25,2025,ath bilbao,vallecano,1.7,3.5,5.5,2,2,H,0.5526046838039262,1.7,-0.0605720375333254,D,0.0257473996916837,0.2930706856261953,3.5,True,1.7,0.7,0.0,-1.0,✓,✗,<0%,2–5%,2025,1.7,3.5,5.5,0.5572,0.2706,0.1722,2,2,1.7,1.7,0.7,-1.1700000000000004,-0.052821997105644,0.7,0.0
2025-08-25,2025,sevilla,getafe,2.25,3.0,3.6,0,2,H,0.4008101914835902,2.25,-0.098177069161922,A,-0.0161594846379686,0.2732890320450087,3.6,True,0.0,-1.0,3.6,2.6,✗,✓,<0%,<0%,2025,2.25,3.0,3.6,0.4211,0.3158,0.2632,0,2,2.25,0.0,-1.0,-2.1700000000000004,-0.0526315789473683,-1.0,0.0
2025-08-27,2025,celta,betis,2.2,3.4,3.25,1,2,H,0.4746970260653973,2.2,0.0443334573438742,H,0.0443334573438742,0.4746970260653973,2.2,True,0.0,-1.0,0.0,-1.0,✗,✗,2–5%,2–5%,2025,2.2,3.4,3.25,0.4303,0.2784,0.2913,1,2,2.2,0.0,-1.0,-3.1700000000000004,-0.0533489096573209,-1.0,0.0
2025-08-29,2025,elche,levante,2.15,3.25,3.5,2,0,A,0.3833581748094484,3.5,0.3417536118330693,A,0.3417536118330693,0.3833581748094484,3.5,True,0.0,-1.0,0.0,-1.0,✗,✗,≥5%,≥5%,2025,2.15,3.25,3.5,0.4394,0.2907,0.2699,2,2,2.15,2.15,1.15,-2.0200000000000005,-0.0552873008208595,-1.0,-2.15
