Season,Matchday,Date,HomeTeam_norm,AwayTeam_norm,pred_key,y_true,y_pred_market,pH_mkt_pred,pD_mkt_pred,pA_mkt_pred,conf_maxprob,entropy,margin_top12,B365H,B365D,B365A,overround,odds_pick,p_pick,ev_pick,kelly_pick,bet_placed,correct,profit,cum_profit_season
2011,1,2012-01-21,betis,sevilla,2011|2012-01-21|betis|sevilla,D,H,0.37500000000000006,0.2840909090909091,0.3409090909090909,0.37500000000000006,1.0921940122058935,0.03409090909090917,2.5,3.3,2.75,1.0666666666666669,2.5,0.37500000000000006,-0.06249999999999989,0.0,1,0,-1.0,-1.0
2011,1,2012-01-21,espanol,granada,2011|2012-01-21|espanol|granada,H,H,0.5433938829374321,0.2685918335662164,0.18801428349635152,0.5433938829374321,0.9987244697210999,0.27480204937121566,1.73,3.5,5.0,1.0637489677952106,1.73,0.5433938829374321,-0.05992858251824251,0.0,1,1,0.73,-0.27
2011,1,2012-01-21,santander,getafe,2011|2012-01-21|santander|getafe,A,H,0.3739565943238731,0.2921535893155259,0.333889816360601,0.3739565943238731,1.0935758980123589,0.04006677796327213,2.5,3.2,2.8,1.0696428571428571,2.5,0.3739565943238731,-0.06510851419031716,0.0,1,0,-1.0,-1.27
2011,1,2012-01-21,sociedad,ath madrid,2011|2012-01-21|sociedad|ath madrid,A,A,0.3239263803680982,0.2846625766871166,0.3914110429447853,0.3914110429447853,1.0899493460683758,0.06748466257668712,2.9,3.3,2.4,1.0645245559038663,2.4,0.3914110429447853,-0.06061349693251539,0.0,1,1,1.4,0.1299999999999999
2011,1,2012-01-22,levante,zaragoza,2011|2012-01-22|levante|zaragoza,D,H,0.5141647343482206,0.2767416070168364,0.20909365863494303,0.5141647343482206,1.024776187076676,0.2374231273313842,1.83,3.4,4.5,1.0627879567127398,1.83,0.5141647343482206,-0.05907853614275621,0.0,1,0,-1.0,-0.8700000000000001
2011,1,2012-01-22,malaga,barcelona,2011|2012-01-22|malaga|barcelona,A,A,0.09909217877094971,0.17115921787709498,0.7297486033519552,0.7297486033519552,0.7611065274787494,0.5585893854748603,9.5,5.5,1.29,1.062275138162531,1.29,0.7297486033519552,-0.05862430167597771,0.0,1,1,0.29000000000000004,-0.5800000000000001
2011,1,2012-01-22,osasuna,valencia,2011|2012-01-22|osasuna|valencia,D,A,0.2903225806451613,0.2903225806451613,0.4193548387096774,0.4193548387096774,1.0825554612899229,0.12903225806451607,3.25,3.25,2.25,1.0598290598290598,2.25,0.4193548387096774,-0.05645161290322587,0.0,1,0,-1.0,-1.58
2011,1,2012-01-22,real madrid,ath bilbao,2011|2012-01-22|real madrid|ath bilbao,H,H,0.7907542579075426,0.14598540145985403,0.0632603406326034,0.7907542579075426,0.6411859931360174,0.6447688564476886,1.2,6.5,15.0,1.0538461538461539,1.2,0.7907542579075426,-0.0510948905109489,0.0,1,1,0.19999999999999996,-1.3800000000000001
2011,1,2012-01-22,vallecano,mallorca,2011|2012-01-22|vallecano|mallorca,A,H,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.47134935304990755,1.0573036363512132,0.1940850277264325,2.0,3.4,3.75,1.0607843137254902,2.0,0.47134935304990755,-0.0573012939001849,0.0,1,0,-1.0,-2.38
2011,1,2012-01-23,villarreal,sp gijon,2011|2012-01-23|villarreal|sp gijon,H,H,0.5140093406910212,0.2687534552755911,0.21723720403338773,0.5140093406910212,1.0268820975532023,0.24525588541543014,1.83,3.5,4.33,1.0631092553630697,1.83,0.5140093406910212,-0.05936290653543114,0.0,1,1,0.8300000000000001,-1.55
