model,test_season,train_until,n_bets,roi,profit_total,hit_rate,avg_odds,avg_edge,avg_value_ev,max_drawdown_pct,stake,min_edge,wk_min,wk_max
smote,2007,2007,380,-0.05936842105263159,-22.560000000000006,0.3973684210526316,2.720421052631579,0.7204512576349017,0.8413579487042524,3.4442462087421943,1.0,0.0,0,0
smote,2008,2008,380,-0.10205263157894737,-38.78,0.3973684210526316,2.7830526315789474,0.5380749846674406,0.7109830224692045,0.0,1.0,0.0,0,0
smote,2009,2009,380,0.026,9.879999999999999,0.5052631578947369,2.387736842105263,0.2703682326745574,0.45756000600368846,0.7702943800178413,1.0,0.0,0,0
smote,2010,2010,380,-0.04657894736842106,-17.700000000000003,0.4842105263157895,2.3695263157894737,0.22754978003723142,0.391412163719996,8.158940397350994,1.0,0.0,0,0
smote,2011,2011,380,0.06305263157894737,23.96,0.5184210526315789,2.326105263157895,0.21192199979809795,0.4366668349547468,1.1180714988520828,1.0,0.0,0,0
smote,2012,2012,380,-0.03236842105263159,-12.300000000000002,0.46842105263157896,2.5260526315789473,0.26905247901451845,0.5026039780357633,8.218181818181817,1.0,0.0,0,0
smote,2013,2013,380,-0.011921052631578945,-4.529999999999999,0.5105263157894737,2.2844210526315787,0.1449404322348995,0.3796451887999932,2.3643410852713176,1.0,0.0,0,0
smote,2014,2014,380,-0.05639473684210526,-21.43,0.5105263157894737,2.306947368421053,0.18196187485590604,0.4662958533690678,0.0,1.0,0.0,0,0
smote,2015,2015,380,-0.10778947368421053,-40.96,0.45526315789473687,2.453105263157895,0.25362027284935934,0.42510486446384477,9.479690522243718,1.0,0.0,0,0
smote,2016,2016,380,-0.07044736842105265,-26.770000000000007,0.4868421052631579,2.3565526315789476,0.21084959398583988,0.4114360463551634,4.277777777777778,1.0,0.0,0,0
smote,2017,2017,380,-0.03086842105263157,-11.729999999999997,0.46578947368421053,2.483842105263158,0.21446319295390598,0.49651612482447044,3.2518987341772156,1.0,0.0,0,0
smote,2018,2018,380,-0.11555263157894737,-43.91,0.4,2.584315789473684,0.2764998355032198,0.5549486597699568,7.40952380952381,1.0,0.0,0,0
smote,2019,2019,380,-0.07928947368421052,-30.13,0.40789473684210525,2.6407105263157895,0.25175649687033796,0.4732709766651245,14.12857142857143,1.0,0.0,0,0
smote,2020,2020,380,0.03513157894736842,13.35,0.4789473684210526,2.4130526315789473,0.12917041561823464,0.3553197060671825,2.432075471698113,1.0,0.0,0,0
smote,2021,2021,380,-0.012842105263157893,-4.879999999999999,0.4631578947368421,2.429342105263158,0.11563520312917001,0.35590594086504146,6.1749539594843466,1.0,0.0,0,0
smote,2022,2022,380,-0.05123684210526316,-19.47,0.46842105263157896,2.294315789473684,0.06537686205591646,0.2670944127852744,2.3299999999999987,1.0,0.0,0,0
smote,2023,2023,380,0.07776315789473684,29.55,0.5157894736842106,2.344657894736842,0.06472215449831475,0.32588023123745646,0.8584350972410677,1.0,0.0,0,0
smote,2024,2024,380,0.07236842105263158,27.5,0.5236842105263158,2.334763157894737,0.10172778451284363,0.3335645545596185,0.8386132695756129,1.0,0.0,0,0
smote,2025,2025,60,-0.07750000000000004,-4.650000000000002,0.43333333333333335,2.556166666666667,0.2769573159846549,0.4948842393738321,18.88571428571429,1.0,0.0,0,0
