Season,accuracy,logloss,brier,roi,n_bets,n_wins,hit_rate,avg_odds_win,avg_overround,avg_conf,avg_entropy,avg_margin
2010,0.6131578947368421,0.9256242841769814,0.5386413849221885,0.11471052631578948,380,233,0.6131578947368421,1.8179828326180258,1.0656556092369576,0.580467688284944,0.9168751741464438,0.3367404032080436
2011,0.5394736842105263,0.954731555284216,0.5669174904460633,-0.06142105263157894,380,205,0.5394736842105263,1.7398048780487807,1.0644981529812823,0.5828733243718222,0.9078865418264063,0.3395954138620321
2012,0.5289473684210526,0.9713953806371589,0.5748830470215196,-0.09342105263157895,380,201,0.5289473684210526,1.7139303482587065,1.0637071056938578,0.5757624059872085,0.9235323240234095,0.33210674802160967
2013,0.5473684210526316,0.9639672990493677,0.5706781379500628,-0.06018421052631579,380,208,0.5473684210526316,1.7169711538461538,1.0636295056247422,0.5788621977420267,0.9050264806216703,0.3435576645489471
2014,0.5447368421052632,0.9188073509046771,0.5427411783331241,-0.07318421052631578,380,207,0.5447368421052632,1.7014009661835745,1.0551371098832818,0.587059478642923,0.883188057299241,0.3477707036993463
2015,0.5578947368421052,0.9417749164500484,0.5561918801625136,-0.010315789473684212,380,212,0.5578947368421052,1.7739622641509436,1.0512274606941958,0.5591316931406763,0.9199612968366504,0.3046659524689249
2016,0.5947368421052631,0.9163473101751717,0.538445255908855,0.040578947368421055,380,226,0.5947368421052631,1.7496460176991149,1.0507638430389525,0.5802677865751921,0.9023123559895211,0.341646765772462
2017,0.5473684210526316,0.9742248483370226,0.5785642105701343,-0.023947368421052627,380,208,0.5473684210526316,1.783173076923077,1.0527185416080418,0.5650290064705953,0.9256854587555144,0.31620791296699613
2018,0.49473684210526314,1.0240892906454435,0.6117401144065193,-0.08707894736842106,380,188,0.49473684210526314,1.8452659574468089,1.0526281406853457,0.5276143796289974,0.9739306672854652,0.26181080700998316
2019,0.531578947368421,0.9848801950468464,0.5868664421701366,0.02534210526315789,380,202,0.531578947368421,1.928861386138614,1.0546748720441046,0.5227824105656655,0.9733065839622658,0.24710007351628552
2020,0.531578947368421,1.0058839303763973,0.5981950252663454,0.012210526315789475,380,202,0.531578947368421,1.904158415841584,1.0564863966258207,0.5236671474177036,0.9794141683448557,0.2534817982275443
2021,0.5289473684210526,0.9875119336898437,0.5880063302672303,0.024236842105263154,380,201,0.5289473684210526,1.9363681592039803,1.0542501464290617,0.5148766018641118,0.9880166007001419,0.23001811872105288
2022,0.5526315789473685,0.987700943846478,0.5878932667287958,0.08410526315789474,380,210,0.5526315789473685,1.961714285714286,1.0544475294178615,0.5322519487861308,0.9692256547107312,0.2580081034783654
2023,0.5763157894736842,0.9460901117434296,0.5623315059364398,0.11328947368421052,380,219,0.5763157894736842,1.9317351598173513,1.0540400463912127,0.5424104518238235,0.95963670924732,0.27355573157154683
2024,0.5578947368421052,0.9631375567999373,0.567586262573816,0.04526315789473684,380,212,0.5578947368421052,1.8735849056603773,1.0565402771209822,0.5607778049688971,0.9281215326194483,0.2932362681352155
2025,0.5915492957746479,0.9346130448565019,0.5547513597431598,0.1473943661971831,142,84,0.5915492957746479,1.9396428571428568,1.058262173916101,0.5539724917149685,0.9299365509590292,0.29041368264637235
