Season,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,support
2010,0.4150047483380817,0.47479825588962643,0.431095611740773,0.49134802819013346,0.618421052631579,0.5355311338503189,380
2011,0.5158880471380471,0.4388116948907223,0.39321750205458533,0.5262725943646996,0.5421052631578948,0.4640132453660582,380
2012,0.4017722769400622,0.40618355337981504,0.3606585086203178,0.44893970741374484,0.5342105263157895,0.45218283157851447,380
2013,0.5050630594655752,0.45596439794913507,0.4156596202741147,0.5230766512717854,0.5552631578947368,0.48852555094932154,380
2014,0.4888964836333258,0.4813796406124684,0.46431839162153105,0.513199146190836,0.55,0.5133856579173101,380
2015,0.5006090606876805,0.4763443414904569,0.44667837648969727,0.5266278548522431,0.5578947368421052,0.5086385392343683,380
2016,0.5233993445044546,0.5000208804790095,0.4660117888559954,0.547982711244251,0.5894736842105263,0.5321490193497104,380
2017,0.49242014552968855,0.4527199567684003,0.40937055096207753,0.5109075589124495,0.5447368421052632,0.4795614320131307,380
2018,0.41180800331743733,0.4317057125880655,0.37904192079651833,0.4304831018038565,0.4921052631578947,0.41940030440657194,380
2019,0.4793569612310944,0.466500295349732,0.44119878729209455,0.4970589582920547,0.5289473684210526,0.483088477772536,380
2020,0.4892326320323102,0.4893091398153353,0.4575339322258336,0.49779864530044476,0.5289473684210526,0.4833381148904221,380
2021,0.48910323372434855,0.4878184128184128,0.46916959426497934,0.5027358686982033,0.5342105263157895,0.4989518269979052,380
2022,0.48446242385636323,0.4651172625608251,0.4472940202283078,0.5085347635586869,0.5421052631578948,0.5026958313747342,380
2023,0.5899167432832771,0.5205066854476552,0.49461532619427356,0.5887252528348147,0.5763157894736842,0.5266908899041863,380
2024,0.5138569021848775,0.5029806974378951,0.48830200058905787,0.5297020782405696,0.5605263157894737,0.5264782546465773,380
2025,0.5677777777777778,0.49511599511599513,0.4824903214416323,0.5814166666666667,0.5625,0.5310208829871751,80
